08-04-2026 09:47:28 RAM 3811/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [30%@1728,36%@1728,100%@1728,45%@1728,100%@1728,27%@1728] GR3D_FREQ 23% cpu@62.218C soc2@60.156C soc0@60.625C gpu@61.531C tj@62.218C soc1@61.968C VDD_IN 10919mW/10919mW VDD_CPU_GPU_CV 4239mW/4239mW VDD_SOC 2899mW/2899mW
08-04-2026 09:47:29 RAM 3810/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [33%@1728,10%@1728,27%@1728,9%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.531C soc2@60.093C soc0@60.656C gpu@61.625C tj@61.937C soc1@61.937C VDD_IN 10960mW/10940mW VDD_CPU_GPU_CV 4280mW/4260mW VDD_SOC 2899mW/2899mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [16%@1728,9%@1728,22%@1728,18%@1728,100%@1728,9%@1728] GR3D_FREQ 25% cpu@61.437C soc2@60.093C soc0@60.75C gpu@61.593C tj@62C soc1@62C VDD_IN 10919mW/10933mW VDD_CPU_GPU_CV 4239mW/4253mW VDD_SOC 2899mW/2899mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,9%@1728,9%@1728,100%@1728,0%@1728] GR3D_FREQ 26% cpu@61.406C soc2@59.968C soc0@60.968C gpu@61.406C tj@62.093C soc1@62.093C VDD_IN 10837mW/10909mW VDD_CPU_GPU_CV 4158mW/4229mW VDD_SOC 2903mW/2900mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.687C soc2@60.125C soc0@60.656C gpu@61.687C tj@61.843C soc1@61.843C VDD_IN 10714mW/10870mW VDD_CPU_GPU_CV 4117mW/4207mW VDD_SOC 2903mW/2901mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [23%@1728,0%@1728,9%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.406C soc2@60.031C soc0@60.656C gpu@61.468C tj@61.875C soc1@61.875C VDD_IN 10632mW/10830mW VDD_CPU_GPU_CV 4036mW/4178mW VDD_SOC 2862mW/2894mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,9%@1728] GR3D_FREQ 25% cpu@61.375C soc2@60.125C soc0@60.75C gpu@61.343C tj@62.062C soc1@62.062C VDD_IN 10551mW/10790mW VDD_CPU_GPU_CV 3995mW/4152mW VDD_SOC 2862mW/2890mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [9%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.5C soc2@60.031C soc0@60.968C gpu@61.312C tj@62.187C soc1@62.187C VDD_IN 10551mW/10760mW VDD_CPU_GPU_CV 3954mW/4127mW VDD_SOC 2862mW/2886mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,9%@1728,100%@1728,0%@1728] GR3D_FREQ 26% cpu@61.687C soc2@60.031C soc0@60.718C gpu@61.468C tj@62.031C soc1@62.031C VDD_IN 10485mW/10730mW VDD_CPU_GPU_CV 3954mW/4108mW VDD_SOC 2862mW/2883mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 26% cpu@61.343C soc2@60.031C soc0@60.781C gpu@61.468C tj@62.031C soc1@62.031C VDD_IN 10485mW/10705mW VDD_CPU_GPU_CV 3913mW/4089mW VDD_SOC 2862mW/2881mW
08-04-2026 09:47:29 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,9%@1728,0%@1728,9%@1728,100%@1728,9%@1728] GR3D_FREQ 25% cpu@61.281C soc2@60C soc0@60.75C gpu@61.343C tj@62.093C soc1@62.093C VDD_IN 10485mW/10685mW VDD_CPU_GPU_CV 3919mW/4073mW VDD_SOC 2862mW/2880mW
08-04-2026 09:47:30 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [9%@1728,16%@1728,27%@1728,20%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.562C soc2@60.093C soc0@60.875C gpu@61.281C tj@62.187C soc1@62.187C VDD_IN 10526mW/10672mW VDD_CPU_GPU_CV 3954mW/4063mW VDD_SOC 2862mW/2878mW
08-04-2026 09:47:30 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 26% cpu@61.593C soc2@59.968C soc0@60.656C gpu@61.343C tj@61.875C soc1@61.875C VDD_IN 10485mW/10658mW VDD_CPU_GPU_CV 3960mW/4055mW VDD_SOC 2862mW/2877mW
08-04-2026 09:47:30 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,9%@1728,9%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.75C soc2@59.937C soc0@60.687C gpu@61.312C tj@61.968C soc1@61.968C VDD_IN 10444mW/10642mW VDD_CPU_GPU_CV 3913mW/4045mW VDD_SOC 2862mW/2876mW
08-04-2026 09:47:30 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [9%@1728,0%@1728,9%@1728,9%@1728,100%@1728,9%@1728] GR3D_FREQ 26% cpu@61.437C soc2@60.031C soc0@60.781C gpu@61.218C tj@62.062C soc1@62.062C VDD_IN 10444mW/10629mW VDD_CPU_GPU_CV 3913mW/4036mW VDD_SOC 2862mW/2875mW
08-04-2026 09:47:30 RAM 3812/7620MB (lfb 57x1MB) SWAP 2579/12002MB (cached 121MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 25% cpu@61.437C soc2@60.031C soc0@60.906C gpu@61.593C tj@62.156C soc1@62.156C VDD_IN 10444mW/10618mW VDD_CPU_GPU_CV 3919mW/4029mW VDD_SOC 2862mW/2874mW
