run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path,sample_count,ram_mb_mean,ram_mb_peak,swap_mb_peak,board_power_w_mean,board_power_w_peak,gpu_util_pct_mean,gpu_util_pct_peak,temp_gpu_c_mean,temp_gpu_c_peak,tegrastats_path_tegrastats,success,oom_flag
jetson_fno_samples:burgers_base_ts_fp32_s0,jetson_fno_samples,burgers_base_ts_fp32_s0,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.3195640705525875,3.2499616499990225,3.638362046331167,3.826785832643509,3.167686052620411,4.587424919009209,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s0.json,results/jetson_fno_samples/burgers_base_ts_fp32_s0_tegrastats.log,43.0,2712.279069767442,2893.0,1985.0,9.832558139534882,10.895,4.441860465116279,39.0,56.08020930232555,56.437,results/jetson_fno_samples/burgers_base_ts_fp32_s0_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s1,jetson_fno_samples,burgers_base_ts_fp32_s1,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.2625812059268355,3.262682119384408,3.3321399241685867,3.361293114721775,3.160518128424883,3.3983509056270123,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,1,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s1.json,results/jetson_fno_samples/burgers_base_ts_fp32_s1_tegrastats.log,42.0,2716.0,2891.0,1985.0,9.928142857142861,10.854,2.9761904761904763,29.0,56.235523809523784,56.75,results/jetson_fno_samples/burgers_base_ts_fp32_s1_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s2,jetson_fno_samples,burgers_base_ts_fp32_s2,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.107190579175949,3.0982266180217266,3.1888061203062534,3.3138361759483814,3.028831910341978,3.3286199904978275,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,2,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s2.json,results/jetson_fno_samples/burgers_base_ts_fp32_s2_tegrastats.log,42.0,2711.4761904761904,2891.0,1985.0,9.93404761904762,10.895,5.357142857142857,36.0,56.32699999999998,56.843,results/jetson_fno_samples/burgers_base_ts_fp32_s2_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s3,jetson_fno_samples,burgers_base_ts_fp32_s3,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.2650963868945837,3.2524398993700743,3.403502982109785,3.5283397883176804,3.162213135510683,3.6251116544008255,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,3,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s3.json,results/jetson_fno_samples/burgers_base_ts_fp32_s3_tegrastats.log,42.0,2719.214285714286,2898.0,1984.0,9.946214285714287,10.977,4.666666666666667,35.0,56.4385952380952,56.843,results/jetson_fno_samples/burgers_base_ts_fp32_s3_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s4,jetson_fno_samples,burgers_base_ts_fp32_s4,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.2711169542744756,3.264104947447777,3.3487481996417046,3.3896779641509056,3.180901985615492,3.402095288038254,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,4,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s4.json,results/jetson_fno_samples/burgers_base_ts_fp32_s4_tegrastats.log,42.0,2721.095238095238,2896.0,1984.0,9.951142857142859,10.813,4.0476190476190474,37.0,56.55026190476187,57.25,results/jetson_fno_samples/burgers_base_ts_fp32_s4_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s5,jetson_fno_samples,burgers_base_ts_fp32_s5,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.267095861956477,3.266664920374751,3.338028211146593,3.3573880791664124,3.171428106725216,3.3718529157340527,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,5,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s5.json,results/jetson_fno_samples/burgers_base_ts_fp32_s5_tegrastats.log,42.0,2725.7380952380954,2900.0,1984.0,9.94519047619048,10.871,2.2857142857142856,28.0,56.61045238095235,57.312,results/jetson_fno_samples/burgers_base_ts_fp32_s5_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s6,jetson_fno_samples,burgers_base_ts_fp32_s6,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.278462141752243,3.264873055741191,3.37937381118536,3.4666405990719795,3.1372508965432644,3.8979859091341496,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,6,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s6.json,results/jetson_fno_samples/burgers_base_ts_fp32_s6_tegrastats.log,42.0,2715.095238095238,2892.0,1984.0,9.96197619047619,10.977,3.761904761904762,28.0,56.70061904761902,57.125,results/jetson_fno_samples/burgers_base_ts_fp32_s6_tegrastats.log,True,False
jetson_fno_samples:burgers_base_ts_fp32_s7,jetson_fno_samples,burgers_base_ts_fp32_s7,burgers,unknown,sample_variance,torchscript,fp32,1,torchscript,,2048,2048,3.18771218881011,3.13350697979331,3.237319178879261,4.153197165578604,3.040415234863758,6.022938992828131,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,7,,burgers,2048,8,False,,False,False,False,results/jetson_fno_samples/burgers_base_ts_fp32_s7.json,results/jetson_fno_samples/burgers_base_ts_fp32_s7_tegrastats.log,41.0,2726.317073170732,2894.0,1983.0,9.946439024390243,10.895,4.902439024390244,62.0,56.73051219512192,57.281,results/jetson_fno_samples/burgers_base_ts_fp32_s7_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s0,jetson_fno_samples,darcy_base_ts_fp32_s0,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.871884391643107,7.509352406486869,9.172894060611725,11.205842718482018,7.455446291714907,13.44750402495265,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,0,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s0.json,results/jetson_fno_samples/darcy_base_ts_fp32_s0_tegrastats.log,48.0,2746.5416666666665,2914.0,1983.0,11.797249999999996,20.111,19.9375,99.0,57.275666666666645,59.375,results/jetson_fno_samples/darcy_base_ts_fp32_s0_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s1,jetson_fno_samples,darcy_base_ts_fp32_s1,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.653133082203567,7.484343601390719,8.338810876011848,9.721108246594667,7.460341788828373,13.158244080841541,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,1,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s1.json,results/jetson_fno_samples/darcy_base_ts_fp32_s1_tegrastats.log,47.0,2755.6170212765956,2915.0,1983.0,11.993617021276599,20.03,19.23404255319149,99.0,57.596723404255286,59.468,results/jetson_fno_samples/darcy_base_ts_fp32_s1_tegrastats.log,True,False
