profile_case,kernel_name_raw,kernel_family,invocations,section,metric_name,metric_unit,metric_min,metric_max,metric_avg,source_group
darcy_r281_ts_fp32_ncu,"fused_add_gelu (6571, 1, 1)x(512, 1, 1)",fused_add_gelu,4,Occupancy,Theoretical Occupancy,%,100.0,100.0,100.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_gelu (6571, 1, 1)x(512, 1, 1)",fused_add_gelu,4,Occupancy,Achieved Occupancy,%,73.82,81.21,79.26,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_gelu (6571, 1, 1)x(512, 1, 1)",fused_add_gelu,4,Occupancy,Achieved Active Warps Per SM,warp,35.44,38.98,38.05,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,SM Frequency,Ghz,1.0,1.0,1.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,Memory Throughput,%,34.09,34.09,34.09,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,Duration,us,16.16,16.16,16.16,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,L1/TEX Cache Throughput,%,18.61,18.61,18.61,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,L2 Cache Throughput,%,34.09,34.09,34.09,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,SM Active Cycles,cycle,9612.12,9612.12,9612.12,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,GPU Speed Of Light Throughput,Compute (SM) Throughput,%,39.94,39.94,39.94,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Block Size,512.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Grid Size,155.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Registers Per Thread,register/thread,16.0,16.0,16.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Shared Memory Configuration Size,Kbyte,8.19,8.19,8.19,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Driver Shared Memory Per Block,Kbyte/block,1.02,1.02,1.02,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Dynamic Shared Memory Per Block,byte/block,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Static Shared Memory Per Block,byte/block,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,# SMs,SM,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Uses Green Context,0.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Launch Statistics,Waves Per SM,6.46,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,Mem Busy,%,15.46,15.46,15.46,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,Max Bandwidth,%,34.09,34.09,34.09,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,L1/TEX Hit Rate,%,19.94,19.94,19.94,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,L2 Compression Success Rate,%,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,L2 Compression Ratio,0.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,L2 Hit Rate,%,50.16,50.16,50.16,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Memory Workload Analysis,Mem Pipes Busy,%,12.49,12.49,12.49,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Block Limit SM,block,16.0,16.0,16.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Block Limit Registers,block,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Block Limit Shared Mem,block,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Block Limit Warps,block,3.0,3.0,3.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Theoretical Active Warps per SM,warp,48.0,48.0,48.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Theoretical Occupancy,%,100.0,100.0,100.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Achieved Occupancy,%,80.39,80.39,80.39,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_add_mul_add (155, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,Occupancy,Achieved Active Warps Per SM,warp,38.58,38.58,38.58,jetson_fno_profile_ncu
