profile_case,kernel_name_raw,kernel_family,invocations,section,metric_name,metric_unit,metric_min,metric_max,metric_avg,source_group
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,Mem Pipes Busy,%,12.08,12.08,12.08,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Block Limit SM,block,16.0,16.0,16.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Block Limit Registers,block,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Block Limit Shared Mem,block,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Block Limit Warps,block,3.0,3.0,3.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Theoretical Active Warps per SM,warp,48.0,48.0,48.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Theoretical Occupancy,%,100.0,100.0,100.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Achieved Occupancy,%,80.65,80.65,80.65,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Occupancy,Achieved Active Warps Per SM,warp,38.71,38.71,38.71,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,SM Frequency,Ghz,1.0,1.01,1.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,Memory Throughput,%,60.24,63.61,62.04,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,Duration,us,55.1,58.34,56.51,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,L1/TEX Cache Throughput,%,19.4,19.76,19.56,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,L2 Cache Throughput,%,60.24,63.61,62.04,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,GPU Speed Of Light Throughput,Compute (SM) Throughput,%,20.03,20.56,20.32,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Block Size,64.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Grid Size,512.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Registers Per Thread,register/thread,168.0,168.0,168.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Shared Memory Configuration Size,Kbyte,32.77,32.77,32.77,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Driver Shared Memory Per Block,Kbyte/block,1.02,1.02,1.02,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Dynamic Shared Memory Per Block,byte/block,768.0,768.0,768.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,Static Shared Memory Per Block,byte/block,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 256)x(32, 2, 1)",cublas_internal_kernel,16,Launch Statistics,# SMs,SM,8.0,8.0,8.0,jetson_fno_profile_ncu
