experiment_name,selected_seed,mode,dataset,resolution,parameter_count,fp32_status,tf32_status,fp32_median_ms,tf32_median_ms,tf32_speedup_vs_fp32,tf32_latency_delta_pct,fp32_peak_cuda_alloc_mb,tf32_peak_cuda_alloc_mb
burgers_fno_base,3,eager,burgers,null,235537,failed,success,,4.9335837829858065,,,,12.17333984375
burgers_fno_base,3,torchscript,burgers,[2048],235537,success,success,3.534899326041341,3.3607487566769123,1.051818979035085,-4.926606200110826,11.77783203125,11.77783203125
burgers_fno_base_modes12,1,eager,burgers,[2048],124945,success,success,4.894654965028167,4.717417526990175,1.0375708609687286,-3.6210404881311504,11.32958984375,11.32958984375
burgers_fno_base_modes12,1,torchscript,burgers,[2048],124945,success,success,3.429007949307561,3.2388418912887573,1.0587142146488464,-5.545803941842856,10.93408203125,10.93408203125
burgers_fno_base_modes16,2,eager,burgers,[2048],161809,success,success,4.91611217148602,4.810892976820469,1.0218710320874964,-2.14029279632458,11.61083984375,11.61083984375
burgers_fno_base_modes16,2,torchscript,burgers,[2048],161809,success,success,3.3972470555454493,3.165318863466382,1.0732716677475835,-6.826945120181426,11.21533203125,11.21533203125
burgers_fno_base_modes32,1,eager,burgers,[2048],309265,success,success,4.892207449302077,4.755995236337185,1.0286401071061197,-2.7842689496808735,12.73583984375,12.73583984375
burgers_fno_base_modes32,1,torchscript,burgers,[2048],309265,success,success,3.455952974036336,3.286251798272133,1.0516397361435996,-4.910401762961571,12.34033203125,12.34033203125
burgers_fno_base_nocoords,0,eager,burgers,[2048],235489,success,success,4.893071949481964,4.8254861030727625,1.014006018246776,-1.3812559289335,12.16552734375,12.16552734375
burgers_fno_base_nocoords,0,torchscript,burgers,[2048],235489,success,success,3.3249245025217533,3.15871206112206,1.0526203206191103,-4.998983925007363,11.77783203125,11.77783203125
burgers_fno_base_pad0,1,eager,burgers,[2048],235537,success,success,4.785724449902773,4.566405899822712,1.0480287024174912,-4.58276594016015,12.14697265625,12.14697265625
burgers_fno_base_pad0,1,torchscript,burgers,[2048],235537,success,success,3.1241346150636673,2.914159558713436,1.072053383529532,-6.72106302134974,11.755859375,11.755859375
burgers_fno_base_pad40,1,eager,burgers,[2048],235537,success,success,4.927312955260277,4.854799015447497,1.0149365482653447,-1.4716731100947291,12.1904296875,12.1904296875
burgers_fno_base_pad40,1,torchscript,burgers,[2048],235537,success,success,3.3934228122234344,3.072149120271206,1.1045762036199163,-9.467540879225833,11.7919921875,11.7919921875
burgers_fno_base_r1024,0,eager,burgers,[1024],235537,success,success,4.747132072225213,4.714315291494131,1.0069610916330294,-0.6912969816679049,11.07080078125,11.07080078125
burgers_fno_base_r1024,0,torchscript,burgers,[1024],235537,success,success,3.2433976884931326,3.100321860983968,1.0461487013041142,-4.411294612953775,11.07080078125,11.07080078125
burgers_fno_base_r2048,2,eager,burgers,[2048],235537,success,success,5.150985438376665,4.909907700493932,1.0491002586175868,-4.680225575607705,12.17333984375,12.17333984375
burgers_fno_base_r2048,2,torchscript,burgers,[2048],235537,success,success,3.517086850479245,3.249623579904437,1.082305923747228,-7.604681998067891,11.77783203125,11.77783203125
burgers_fno_base_r4096,0,eager,burgers,[4096],235537,success,success,5.286225117743015,4.771122941747308,1.1079624613083359,-9.744234581815036,14.44677734375,14.44677734375
burgers_fno_base_r4096,0,torchscript,burgers,[4096],235537,success,success,3.6983259487897158,3.2296094577759504,1.1451310126322654,-12.673747460446359,13.66064453125,13.66064453125
burgers_fno_base_r512,2,eager,burgers,[512],235537,success,success,4.8987120389938354,4.849991062656045,1.0100455806430102,-0.9945670606880063,10.97119140625,10.97119140625
burgers_fno_base_r512,2,torchscript,burgers,[512],235537,success,success,3.332269610837102,3.180105471983552,1.047848771115959,-4.5663813743847905,10.97119140625,10.97119140625
burgers_fno_base_r8192,1,eager,burgers,[8192],235537,success,success,5.83925552200526,5.0153229967691,1.1642830433387723,-14.110232411155263,18.99365234375,18.99365234375
burgers_fno_base_r8192,1,torchscript,burgers,[8192],235537,success,success,4.629358008969575,3.384147014003247,1.3679541668295658,-26.89813560657179,17.4267578125,17.4267578125
burgers_fno_large,0,eager,burgers,[2048],820033,success,success,6.425477098673582,6.65970821864903,0.9648286212720948,3.6453498530685016,17.3291015625,17.3291015625
burgers_fno_large,0,torchscript,burgers,[2048],820033,success,success,4.272057209163904,4.263994051143527,1.0018909871645376,-0.18874180811720032,16.82080078125,16.82080078125
burgers_fno_small,2,eager,burgers,[2048],72033,success,success,4.789529368281364,4.860683577135205,0.9853612752764751,1.485620055387054,10.19189453125,10.19189453125
burgers_fno_small,2,torchscript,burgers,[2048],72033,success,success,3.0632559210062027,3.1512430869042873,0.9720785850308612,2.872341331154044,9.92822265625,9.92822265625
darcy_fno_base,0,eager,darcy,"[141, 141]",3287553,success,success,9.342159377411008,8.117995923385024,1.1507962637058746,-13.10364557669574,54.25830078125,54.25830078125
darcy_fno_base,0,torchscript,darcy,"[141, 141]",3287553,success,success,8.804609533399343,7.574349408969283,1.162424527573712,-13.972909528391922,50.59716796875,50.59716796875
darcy_fno_base_modes12,1,eager,darcy,"[141, 141]",1853953,success,success,8.825731463730335,7.54505442455411,1.1697372831411894,-14.510718396987428,43.32080078125,43.32080078125
darcy_fno_base_modes12,1,torchscript,darcy,"[141, 141]",1853953,success,success,8.215411100536585,6.867402931675315,1.1962908223491149,-16.40828623625695,39.65966796875,39.65966796875
darcy_fno_base_modes24,1,eager,darcy,"[141, 141]",7383553,success,success,11.059688869863749,9.843268897384405,1.1235788623840781,-10.99868166991509,85.50830078125,85.50830078125
