tag,dataset,resolution,mode,precision,mean_ms,p95_ms,cuda_peak_allocated_mb,forward_avg_ms_from_nvtx,cudaDeviceSynchronize_time_pct,d2d_total_mb,d2d_count,d2d_avg_mb,h2d_total_mb,h2d_count,h2d_avg_mb,input_bank,source,profile_case
burgers_base_ts_fp32,burgers,[2048],torchscript,fp32,5.303853300089638,5.539405159652233,11.77783203125,5.2301781,0.3,63.7,13,160.0,8.6,34,36.0,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,burgers_base_ts_fp32
darcy_base_r281_ts_fp32,darcy,"[281, 281]",torchscript,fp32,33.56146829901263,33.82323309779167,98.81982421875,7.790916,63.7,596.1,47,44.0,33.3,72,43.0,artifacts/benchmark_inputs/darcy_r281_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,darcy_base_r281_ts_fp32
darcy_base_r85_ts_fp32,darcy,"[85, 85]",torchscript,fp32,6.88509604272743,7.101021707057953,40.7568359375,6.809834700000001,0.3,231.0,14,160.0,33.0,85,40.0,artifacts/benchmark_inputs/darcy_r85_bank.pt,artifacts/torchscript/darcy_fno_base_r85_seed2.ts,darcy_base_r85_ts_fp32
darcy_large_on421_ts_fp32,darcy,"[141, 141]",torchscript,fp32,196.0324357263744,196.60252798348665,500.93408203125,10.9835968,81.8,2020.5,37,42.0,238.1,79,55.0,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,darcy_large_on421_ts_fp32
