profile_case,kernel_name_raw,kernel_family,invocations,avg_duration_ms,avg_compute_pct,avg_memory_pct,avg_l1tex_hit_pct,avg_l2_hit_pct,avg_achieved_occupancy_pct,avg_eligible_warps_per_scheduler,avg_no_eligible_pct,avg_warp_cycles_per_issued_inst,source_group,category,paper_keep_flag
darcy_r281_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (29611, 1, 1)x(128, 1, 1)",elementwise_kernel,2,820.58,43.45,64.11,55.55,50.0,91.42,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (309, 1, 1)x(128, 1, 1)",elementwise_kernel,4,15.94,22.57,35.39,33.3,49.57,81.49,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (12338, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,4,367.46,40.11,61.38,11.39,49.99,90.98,,,,jetson_fno_profile_ncu,movement_copy,True
darcy_r281_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (1600, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,16,120.53,12.91,85.63,8.9,77.98,91.07,,,,jetson_fno_profile_ncu,movement_copy,True
darcy_r281_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (40, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,32,12.13,6.61,20.92,36.64,62.57,36.74,,,,jetson_fno_profile_ncu,movement_copy,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, detail::Array<char *, 2>>(int, T2, T3) (6571, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,8,280.52,7.09,79.18,49.27,50.0,87.98,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, detail::Array<char *, 2>>(int, T2, T3) (1, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,6.51,0.27,0.76,0.0,32.62,6.34,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, detail::Array<char *, 3>>(int, T2, T3) (6571, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,3,419.93,5.53,81.36,0.0,33.34,91.91,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<c10::complex<float>>, detail::Array<char *, 1>>(int, T2, T3) (3308, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,8,286.19,4.91,91.65,23.27,99.98,94.13,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, detail::Array<char *, 1>>(int, T2, T3) (6571, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,188.1,11.38,55.66,0.0,99.97,85.33,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3) (14806, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,637.3,37.5,78.66,0.0,50.0,88.5,,,,jetson_fno_profile_ncu,elementwise_fused,True
