run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path
jetson_fno:burgers_fno_base_modes12_seed1_eager_fp32,jetson_fno,burgers_fno_base_modes12_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.846296482719481,4.834515042603016,4.9323407001793385,5.084281321614981,4.736464004963636,5.111737176775932,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes12_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes12_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes12_seed1_eager_fp32_tegrastats.log
jetson_fno:burgers_fno_base_modes12_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_modes12_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.2067066431045532,3.207101020962,3.263757564127445,3.27732739970088,3.1211948953568935,3.2773897983133793,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes12_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes12_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes12_seed1_torchscript_fp32_tegrastats.log
jetson_fno:burgers_fno_base_modes16_seed2_eager_fp32,jetson_fno,burgers_fno_base_modes16_seed2_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.971918757073581,4.964967491105199,5.041720811277628,5.056953057646751,4.861332941800356,5.104538053274155,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes16_seed2_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes16_seed2_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes16_seed2_eager_fp32_tegrastats.log
jetson_fno:burgers_fno_base_modes16_seed2_torchscript_fp32,jetson_fno,burgers_fno_base_modes16_seed2_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.332369737327099,3.3295522443950176,3.3784168772399426,3.431987017393112,3.2652951776981354,3.447315189987421,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes16_seed2.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes16_seed2_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes16_seed2_torchscript_fp32_tegrastats.log
jetson_fno:burgers_fno_base_modes32_seed1_eager_fp32,jetson_fno,burgers_fno_base_modes32_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.9040818540379405,4.885014379397035,5.060954950749874,5.219870246946812,4.804628901183605,5.228863097727299,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes32_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes32_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes32_seed1_eager_fp32_tegrastats.log
jetson_fno:burgers_fno_base_modes32_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_modes32_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.364997967146337,3.310353262349963,3.7030032835900784,3.871997818350792,3.229294903576374,4.375754855573177,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes32_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes32_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes32_seed1_torchscript_fp32_tegrastats.log
jetson_fno:burgers_fno_base_nocoords_seed0_eager_fp32,jetson_fno,burgers_fno_base_nocoords_seed0_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.5607176795601845,4.555040039122105,4.662001971155405,4.699827637523413,4.440397024154663,4.70869243144989,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_nocoords_seed0_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_nocoords_seed0_eager_fp32.json,results/jetson_fno/burgers_fno_base_nocoords_seed0_eager_fp32_tegrastats.log
jetson_fno:burgers_fno_base_nocoords_seed0_torchscript_fp32,jetson_fno,burgers_fno_base_nocoords_seed0_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.199433758854866,3.192878793925047,3.2847533002495766,3.3175540156662464,3.111437428742647,3.3265138044953346,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_nocoords_seed0.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_nocoords_seed0_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_nocoords_seed0_torchscript_fp32_tegrastats.log
jetson_fno:burgers_fno_base_pad0_seed1_eager_fp32,jetson_fno,burgers_fno_base_pad0_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.568207287229598,4.568753065541387,4.617329686880112,4.659347701817751,4.489583894610405,4.705332685261965,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_pad0_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_pad0_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_pad0_seed1_eager_fp32_tegrastats.log
jetson_fno:burgers_fno_base_pad0_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_pad0_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,2.963866349309683,2.9590653721243143,3.0241706408560276,3.0506039038300514,2.871367149055004,3.068365156650543,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_pad0_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_pad0_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_pad0_seed1_torchscript_fp32_tegrastats.log
