tag,dataset,resolution,median_ms,p95_ms,peak_ram_mb,avg_power_w_short_run,energy_per_inf_j_short_run,input_bank
burgers_fno_base_r1024_seed0_torchscript_fp32,burgers,[1024],3.1955051235854626,3.254322335124016,2357,9.618309523809524,0.03074419516809706,artifacts/benchmark_inputs/burgers_r1024_bank.pt
burgers_fno_base_r2048_seed2_torchscript_fp32,burgers,[2048],3.2389620319008827,3.2961159013211727,2363,9.696619047619048,0.03141384117957826,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_r4096_seed0_torchscript_fp32,burgers,[4096],3.3249175176024437,3.4044398926198483,2371,9.922214285714286,0.033117920003475826,artifacts/benchmark_inputs/burgers_r4096_bank.pt
burgers_fno_base_r512_seed2_torchscript_fp32,burgers,[512],3.193875076249242,3.2451720908284187,2375,9.605023809523809,0.03067227301523433,artifacts/benchmark_inputs/burgers_r512_bank.pt
burgers_fno_base_r8192_seed1_torchscript_fp32,burgers,[8192],3.9634944987483323,5.919239949434996,3083,7.214125,0.030847605844025097,artifacts/benchmark_inputs/burgers_r8192_bank.pt
darcy_fno_base_r141_seed0_torchscript_fp32,darcy,"[141, 141]",7.515821373090148,8.697581011801958,2622,11.783375,0.09090376852450135,artifacts/benchmark_inputs/darcy_r141_bank.pt
darcy_fno_base_r211_seed1_torchscript_fp32,darcy,"[211, 211]",15.318228863179684,16.541351098567247,2652,13.437793103448275,0.20778002216962904,artifacts/benchmark_inputs/darcy_r211_bank.pt
darcy_fno_base_r281_seed1_torchscript_fp32,darcy,"[281, 281]",33.19221246056259,36.80399293079972,2761,15.836125,0.532301458105137,artifacts/benchmark_inputs/darcy_r281_bank.pt
darcy_fno_base_r421_seed1_torchscript_fp32,darcy,"[421, 421]",75.58538601733744,76.27771096304059,3393,16.841481751824816,1.2749129532294654,artifacts/benchmark_inputs/darcy_r421_bank.pt
darcy_fno_base_r85_seed2_torchscript_fp32,darcy,"[85, 85]",5.3300196304917336,5.353300832211971,2748,11.009133333333333,0.05869543198472944,artifacts/benchmark_inputs/darcy_r85_bank.pt
burgers_base_r4096_on_8192_torchscript_fp32,burgers,[4096],4.037551116198301,4.430091008543968,2266,10.741568181818183,0.044762749325461815,artifacts/benchmark_inputs/burgers_r8192_bank.pt
darcy_base_r281_on_421_torchscript_fp32,darcy,"[281, 281]",81.62849652580917,94.4732348434627,2660,18.360404411764705,1.5481461863649628,artifacts/benchmark_inputs/darcy_r421_bank.pt
darcy_large_r141_on_421_torchscript_fp32,darcy,"[141, 141]",195.37197472527623,206.76135597750545,3432,19.349193308550184,3.81532591496697,artifacts/benchmark_inputs/darcy_r421_bank.pt
