tag,status,dataset,resolution,parameter_count,mode,precision_mode,input_bank,input_shape,measure_seconds_actual,measure_iters,throughput_inf_s,median_ms,mean_ms,p95_ms,p99_ms,peak_cuda_alloc_mb,peak_cuda_reserved_mb,tegrastats_samples,ram_used_mean_mb,ram_used_peak_mb,avg_power_w,median_power_w,p95_power_w,peak_power_w,energy_total_j,energy_per_inf_j,gr3d_mean_pct,gr3d_p95_pct,gpu_temp_start_c,gpu_temp_end_c,gpu_temp_peak_c,tj_temp_start_c,tj_temp_end_c,tj_temp_peak_c
burgers_base_r2048_ts_fp32_strict_energy,success,burgers,[2048],235537,torchscript,fp32_strict,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",120.00029510213062,33924,282.6993047902736,3.4681102260947227,3.533354568185478,3.8455617614090443,4.576977342367172,11.78564453125,26.0,1360,3570.8816176470586,3592,12.248286764705883,12.309,12.432,12.555,1469.7980262602266,0.04332620051468655,37.27279411764706,40,48.125,55.125,56.187,49.312,56.437,56.5
burgers_base_r2048_ts_tf32_energy,success,burgers,[2048],235537,torchscript,tf32,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",120.00012801634148,35972,299.7663468750748,3.284457139670849,3.3321190084789825,3.5427692346274853,4.274087958037853,11.78564453125,26.0,1360,3582.741911764706,3595,11.875522794117646,11.941,12.042,12.146,1425.0642555550987,0.03961593060033078,28.566911764705882,30,54.437,56.5,58.093,55.812,57.812,58.531
burgers_base_r8192_ts_fp32_strict_energy,success,burgers,[8192],235537,torchscript,fp32_strict,artifacts/benchmark_inputs/burgers_r8192_bank.pt,"[1, 8192]",120.0019691180205,26062,217.1797695616839,4.591580014675856,4.600046620897631,4.659614060074091,4.777282010763884,17.4580078125,24.0,1359,3388.2840323767477,3410,16.76033259749816,17.015,17.554,17.675,2011.2729147727264,0.07717262354281047,88.54083885209712,97,64.156,71.375,74.343,65.25,72.031,74.343
darcy_base_r141_ts_fp32_strict_energy,success,darcy,"[141, 141]",3287553,torchscript,fp32_strict,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",120.01486557209864,13146,109.53643065243924,8.99326242506504,9.12430161266933,10.04438428208232,16.139777842909098,50.67333984375,62.0,1361,3656.6642174871417,3678,21.404335047758998,21.703,22.301,22.462,2568.8383934169556,0.19540836706351403,92.8765613519471,99,55.656,71.625,74.187,57.062,72.125,74.187
darcy_base_r141_ts_tf32_energy,success,darcy,"[141, 141]",3287553,torchscript,tf32,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",120.00128513015807,15208,126.73197610762928,7.6379235833883286,7.8850984272068425,8.84613674134016,13.538382947444916,50.67333984375,62.0,1359,3598.898454746137,3614,21.58240544518028,21.904,22.306,22.427,2589.916389621755,0.17029960478838474,92.32229580573951,99,68.812,71.531,74.406,69.687,72.375,74.406
darcy_base_r211_ts_fp32_strict_energy,success,darcy,"[211, 211]",3287553,torchscript,fp32_strict,artifacts/benchmark_inputs/darcy_r211_bank.pt,"[1, 211, 211]",120.00941261136904,6742,56.17892674662836,17.406841972842813,17.794229629364178,19.566831178963184,29.12086294963956,70.6396484375,104.0,1360,3680.6610294117645,3695,21.26286176470588,21.623,21.743,21.784,2551.7435508190906,0.3784846560099511,94.35882352941177,99,68.968,71.093,74.468,70.312,72.375,74.468
darcy_base_r281_on421_ts_fp32_strict_energy,success,darcy,"[281, 281]",3287553,torchscript,fp32_strict,artifacts/benchmark_inputs/darcy_r421_bank.pt,"[1, 421, 421]",120.05739487987012,1273,10.603261892145575,92.29346783831716,94.2998043987944,108.9648469351232,110.24264805018902,175.98583984375,354.0,1365,3721.807326007326,3745,21.489557509157507,21.824,22.145,22.266,2579.9802916706008,2.026693080652475,95.47838827838828,99,69.343,71.25,74.312,70.125,71.625,74.312
darcy_base_r281_on421_ts_tf32_energy,success,darcy,"[281, 281]",3287553,torchscript,tf32,artifacts/benchmark_inputs/darcy_r421_bank.pt,"[1, 421, 421]",120.04854437196627,1396,11.628629129184125,84.05728545039892,85.98317299071529,102.00901003554463,105.43548595160246,175.98583984375,354.0,1365,3689.7054945054947,3708,21.85213772893773,22.23,22.391,22.511,2623.3173257746994,1.8791671388070912,95.54212454212454,99,69.0,70.968,74.656,69.75,72.093,74.656
darcy_base_r281_ts_fp32_strict_energy,success,darcy,"[281, 281]",3287553,torchscript,fp32_strict,artifacts/benchmark_inputs/darcy_r281_bank.pt,"[1, 281, 281]",120.0200817650184,3122,26.012313556929705,37.67118416726589,38.43522969690616,42.4127746373415,54.3775400146842,99.12109375,180.0,1578,3726.826362484157,3785,19.730649556400504,21.743,22.025,22.185,2368.0741730361124,0.7585119068020859,82.43092522179974,99,68.875,71.125,74.218,70.25,72.031,74.218
darcy_base_r421_ts_fp32_strict_energy,success,darcy,"[421, 421]",3287553,torchscript,fp32_strict,artifacts/benchmark_inputs/darcy_r421_bank.pt,"[1, 421, 421]",120.02035538805649,1455,12.122943606487524,82.43297098670155,82.47730236826945,83.30263302195817,84.03206500224769,175.98583984375,354.0,1361,3449.221895664952,3473,21.527269654665687,21.95,22.431,22.511,2583.7105544875,1.775746085558419,95.27994121969141,99,68.593,70.968,74.656,70.031,71.406,74.656
