experiment_name,selected_seed,selection_rule,checkpoint_path,config_path,summary_path,aggregate_path,torchscript_path,dataset,spatial_dim,input_shape,output_shape,parameter_count,run_eager_fp32,run_eager_fp16,run_ts_fp32,run_ts_fp16,input_bank_path
burgers_fno_base,3,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_seed3_best.pt,artifacts/configs/burgers_fno_base_seed3_resolved_config.json,artifacts/summaries/burgers_fno_base_seed3_summary.json,artifacts/aggregates/burgers_fno_base_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_seed3.ts,burgers,1,"[2048, 2]","[2048, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_modes12,1,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_modes12_seed1_best.pt,artifacts/configs/burgers_fno_base_modes12_seed1_resolved_config.json,artifacts/summaries/burgers_fno_base_modes12_seed1_summary.json,artifacts/aggregates/burgers_fno_base_modes12_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_modes12_seed1.ts,burgers,1,"[2048, 2]","[2048, 1]",124945,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_modes16,2,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_modes16_seed2_best.pt,artifacts/configs/burgers_fno_base_modes16_seed2_resolved_config.json,artifacts/summaries/burgers_fno_base_modes16_seed2_summary.json,artifacts/aggregates/burgers_fno_base_modes16_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_modes16_seed2.ts,burgers,1,"[2048, 2]","[2048, 1]",161809,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_modes32,1,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_modes32_seed1_best.pt,artifacts/configs/burgers_fno_base_modes32_seed1_resolved_config.json,artifacts/summaries/burgers_fno_base_modes32_seed1_summary.json,artifacts/aggregates/burgers_fno_base_modes32_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_modes32_seed1.ts,burgers,1,"[2048, 2]","[2048, 1]",309265,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_nocoords,0,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_nocoords_seed0_best.pt,artifacts/configs/burgers_fno_base_nocoords_seed0_resolved_config.json,artifacts/summaries/burgers_fno_base_nocoords_seed0_summary.json,artifacts/aggregates/burgers_fno_base_nocoords_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_nocoords_seed0.ts,burgers,1,"[2048, 1]","[2048, 1]",235489,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_pad0,1,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_pad0_seed1_best.pt,artifacts/configs/burgers_fno_base_pad0_seed1_resolved_config.json,artifacts/summaries/burgers_fno_base_pad0_seed1_summary.json,artifacts/aggregates/burgers_fno_base_pad0_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_pad0_seed1.ts,burgers,1,"[2048, 2]","[2048, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_pad40,1,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_pad40_seed1_best.pt,artifacts/configs/burgers_fno_base_pad40_seed1_resolved_config.json,artifacts/summaries/burgers_fno_base_pad40_seed1_summary.json,artifacts/aggregates/burgers_fno_base_pad40_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_pad40_seed1.ts,burgers,1,"[2048, 2]","[2048, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_r1024,0,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_r1024_seed0_best.pt,artifacts/configs/burgers_fno_base_r1024_seed0_resolved_config.json,artifacts/summaries/burgers_fno_base_r1024_seed0_summary.json,artifacts/aggregates/burgers_fno_base_r1024_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_r1024_seed0.ts,burgers,1,"[1024, 2]","[1024, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r1024_bank.pt
burgers_fno_base_r2048,2,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_r2048_seed2_best.pt,artifacts/configs/burgers_fno_base_r2048_seed2_resolved_config.json,artifacts/summaries/burgers_fno_base_r2048_seed2_summary.json,artifacts/aggregates/burgers_fno_base_r2048_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_r2048_seed2.ts,burgers,1,"[2048, 2]","[2048, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_base_r4096,0,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_r4096_seed0_best.pt,artifacts/configs/burgers_fno_base_r4096_seed0_resolved_config.json,artifacts/summaries/burgers_fno_base_r4096_seed0_summary.json,artifacts/aggregates/burgers_fno_base_r4096_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_r4096_seed0.ts,burgers,1,"[4096, 2]","[4096, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r4096_bank.pt
burgers_fno_base_r512,2,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_r512_seed2_best.pt,artifacts/configs/burgers_fno_base_r512_seed2_resolved_config.json,artifacts/summaries/burgers_fno_base_r512_seed2_summary.json,artifacts/aggregates/burgers_fno_base_r512_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_r512_seed2.ts,burgers,1,"[512, 2]","[512, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r512_bank.pt
burgers_fno_base_r8192,1,median_test_rel_l2,artifacts/checkpoints/burgers_fno_base_r8192_seed1_best.pt,artifacts/configs/burgers_fno_base_r8192_seed1_resolved_config.json,artifacts/summaries/burgers_fno_base_r8192_seed1_summary.json,artifacts/aggregates/burgers_fno_base_r8192_aggregate_summary.json,artifacts/torchscript/burgers_fno_base_r8192_seed1.ts,burgers,1,"[8192, 2]","[8192, 1]",235537,1,1,1,1,artifacts/benchmark_inputs/burgers_r8192_bank.pt
burgers_fno_large,0,median_test_rel_l2,artifacts/checkpoints/burgers_fno_large_seed0_best.pt,artifacts/configs/burgers_fno_large_seed0_resolved_config.json,artifacts/summaries/burgers_fno_large_seed0_summary.json,artifacts/aggregates/burgers_fno_large_aggregate_summary.json,artifacts/torchscript/burgers_fno_large_seed0.ts,burgers,1,"[2048, 2]","[2048, 1]",820033,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
burgers_fno_small,2,median_test_rel_l2,artifacts/checkpoints/burgers_fno_small_seed2_best.pt,artifacts/configs/burgers_fno_small_seed2_resolved_config.json,artifacts/summaries/burgers_fno_small_seed2_summary.json,artifacts/aggregates/burgers_fno_small_aggregate_summary.json,artifacts/torchscript/burgers_fno_small_seed2.ts,burgers,1,"[2048, 2]","[2048, 1]",72033,1,1,1,1,artifacts/benchmark_inputs/burgers_r2048_bank.pt
darcy_fno_base,0,median_test_rel_l2,artifacts/checkpoints/darcy_fno_base_seed0_best.pt,artifacts/configs/darcy_fno_base_seed0_resolved_config.json,artifacts/summaries/darcy_fno_base_seed0_summary.json,artifacts/aggregates/darcy_fno_base_aggregate_summary.json,artifacts/torchscript/darcy_fno_base_seed0.ts,darcy,2,"[141, 141, 3]","[141, 141, 1]",3287553,1,1,1,1,artifacts/benchmark_inputs/darcy_r141_bank.pt
darcy_fno_base_modes12,1,median_test_rel_l2,artifacts/checkpoints/darcy_fno_base_modes12_seed1_best.pt,artifacts/configs/darcy_fno_base_modes12_seed1_resolved_config.json,artifacts/summaries/darcy_fno_base_modes12_seed1_summary.json,artifacts/aggregates/darcy_fno_base_modes12_aggregate_summary.json,artifacts/torchscript/darcy_fno_base_modes12_seed1.ts,darcy,2,"[141, 141, 3]","[141, 141, 1]",1853953,1,1,1,1,artifacts/benchmark_inputs/darcy_r141_bank.pt
darcy_fno_base_modes24,1,median_test_rel_l2,artifacts/checkpoints/darcy_fno_base_modes24_seed1_best.pt,artifacts/configs/darcy_fno_base_modes24_seed1_resolved_config.json,artifacts/summaries/darcy_fno_base_modes24_seed1_summary.json,artifacts/aggregates/darcy_fno_base_modes24_aggregate_summary.json,artifacts/torchscript/darcy_fno_base_modes24_seed1.ts,darcy,2,"[141, 141, 3]","[141, 141, 1]",7383553,1,1,1,1,artifacts/benchmark_inputs/darcy_r141_bank.pt
darcy_fno_base_nocoords,2,median_test_rel_l2,artifacts/checkpoints/darcy_fno_base_nocoords_seed2_best.pt,artifacts/configs/darcy_fno_base_nocoords_seed2_resolved_config.json,artifacts/summaries/darcy_fno_base_nocoords_seed2_summary.json,artifacts/aggregates/darcy_fno_base_nocoords_aggregate_summary.json,artifacts/torchscript/darcy_fno_base_nocoords_seed2.ts,darcy,2,"[141, 141, 1]","[141, 141, 1]",3287473,1,1,1,1,artifacts/benchmark_inputs/darcy_r141_bank.pt
darcy_fno_base_pad0,1,median_test_rel_l2,artifacts/checkpoints/darcy_fno_base_pad0_seed1_best.pt,artifacts/configs/darcy_fno_base_pad0_seed1_resolved_config.json,artifacts/summaries/darcy_fno_base_pad0_seed1_summary.json,artifacts/aggregates/darcy_fno_base_pad0_aggregate_summary.json,artifacts/torchscript/darcy_fno_base_pad0_seed1.ts,darcy,2,"[141, 141, 3]","[141, 141, 1]",3287553,1,1,1,1,artifacts/benchmark_inputs/darcy_r141_bank.pt
