"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_active","inst/cycle","2.75","2.76","2.75"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_elapsed","inst/cycle","2.73","2.74","2.74"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_issued.avg.pct_of_peak_sustained_active","%","68.73","68.93","68.80"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_issued.avg.per_cycle_active","inst/cycle","2.75","2.76","2.75"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_issued.max.pct_of_peak_sustained_active","%","68.73","69.12","68.85"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__instruction_throughput.avg.pct_of_peak_sustained_active","%","69.99","70.19","70.06"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active","%","69.99","70.19","70.06"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","%","17.64","17.69","17.66"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active","%","17.94","17.99","17.95"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active","%","69.99","70.19","70.06"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_active","%","0.90","0.91","0.90"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active","%","16.86","16.91","16.88"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__inst_executed_pipe_fp64_op_dmma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__inst_executed_pipe_fp64_op_fp64.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active","%","43.28","43.40","43.32","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active","%","0.78","0.78","0.78","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","5","Compute Workload Analysis","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","Compute Workload Analysis"
"sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00",
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained","inst/cycle","16.00","16.00","16.00"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained","inst/cycle","1,024.00","1,024.00","1,024.00"
"2487139","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","5","GPU Speed Of Light Roofline Chart","smsp__sass_thread_inst_executed_op_dfma_pred_on.sum.per_cycle_elapsed","inst/cycle","0.00","0.00","0.00"
