"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active","%","0.10","0.10","0.10","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","Compute Workload Analysis","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00",
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained","inst/cycle","16.00","16.00","16.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained","inst/cycle","1,024.00","1,024.00","1,024.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Roofline Chart","smsp__sass_thread_inst_executed_op_dfma_pred_on.sum.per_cycle_elapsed","inst/cycle","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Roofline Chart","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum.per_cycle_elapsed","inst/cycle","106.86","107.14","107.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpc__cycles_elapsed.avg.per_second","hz","304,982,311.32","305,093,248.35","305,037,779.83"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpc__cycles_elapsed.max","cycle","20,678.00","20,690.00","20,684.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","20.09","20.14","20.11"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpu__time_duration.sum","ns","67,776.00","67,840.00","67,808.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__throughput.avg.pct_of_peak_sustained_active","%","48.29","48.53","48.41"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","launch__waves_per_multiprocessor","","0.12","0.12","0.12"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.33","10.34","10.33"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__cycles_active.avg","cycle","8,186.50","8,226.12","8,206.31"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.93","16.98","16.95"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","20.09","20.14","20.11"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.93","16.98","16.95"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed.avg.pct_of_peak_sustained_elapsed","%","16.86","16.91","16.88"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed","%","1.54","1.54","1.54"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed","%","0.53","0.53","0.53"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed","%","10.15","10.17","10.16"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed","%","0.04","0.04","0.04"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__instruction_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__issue_active.avg.pct_of_peak_sustained_elapsed","%","16.93","16.98","16.95"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__memory_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed","%","6.23","6.25","6.24"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed","%","5.46","5.47","5.47"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed","%","2.12","2.12","2.12"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed","%","2.12","2.12","2.12"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed","%","6.44","6.46","6.45"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","10.65","10.67","10.66"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed","%","6.44","6.47","6.46"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed","%","5.25","5.25","5.25"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed","%","4.07","4.08","4.08"
