experiment_name,task,spatial_dim,input_shape,output_shape,parameter_count,selected_seed,test_rel_l2_mean,test_rel_l2_std,sensor_resolution,basis_dim,branch_hidden_dim,branch_layers,trunk_hidden_dim,trunk_layers,backend,precision,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,peak_cuda_allocated_mb,input_bank,checkpoint,torchscript,result_json
burgers_deeponet_base_r8192,burgers,1,"[8192, 2]","[8192, 1]",854529,0,0.04153364524245262,0.024252288043498993,1024,128,256,4,256,4,torchscript,fp32,1,30,100,9.564168327488005,8.660313033033162,10.767717030830681,10.995276970788836,1.0690812072978795,8.498547016642988,11.17435609921813,28.5439453125,artifacts/benchmark_inputs/burgers_r8192_bank.pt,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,results/jetson_deeponet_fp32/burgers_deeponet_base_r8192_torchscript_fp32.json
burgers_deeponet_base,burgers,1,"[2048, 2]","[2048, 1]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,torchscript,fp32,1,30,100,1.7264980729669333,1.7137189861387014,1.799353864043951,1.8931487575173378,0.04146570400629983,1.6836700960993767,1.976960338652134,14.9267578125,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,results/jetson_deeponet_fp32/burgers_deeponet_base_torchscript_fp32.json
burgers_deeponet_large,burgers,1,"[2048, 2]","[2048, 1]",2365441,3,0.015740012750029564,0.013662442564964294,512,256,512,5,512,5,eager,fp32,1,30,100,5.446174358949065,5.303722340613604,6.033027078956366,6.238056812435389,0.2766057883179625,5.218375939875841,6.6483099944889545,26.20654296875,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,results/jetson_deeponet_fp32/burgers_deeponet_large_eager_fp32.json
burgers_deeponet_large,burgers,1,"[2048, 2]","[2048, 1]",2365441,3,0.015740012750029564,0.013662442564964294,512,256,512,5,512,5,torchscript,fp32,1,30,100,4.570684446953237,4.44251112639904,4.957407712936401,6.537009961903095,0.3708592875894487,4.401069134473801,6.916799116879702,26.19091796875,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,artifacts/torchscript/burgers_deeponet_large_seed3.ts,results/jetson_deeponet_fp32/burgers_deeponet_large_torchscript_fp32.json
burgers_deeponet_small,burgers,1,"[2048, 2]","[2048, 1]",82945,1,0.020025843754410744,0.01726575754582882,128,64,128,3,128,3,eager,fp32,1,30,100,2.16394797898829,2.156228991225362,2.204551361501217,2.2677211090922356,0.05489812849187072,2.10550706833601,2.6189014315605164,11.49951171875,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_deeponet_small_seed1_best.pt,,results/jetson_deeponet_fp32/burgers_deeponet_small_eager_fp32.json
burgers_deeponet_small,burgers,1,"[2048, 2]","[2048, 1]",82945,1,0.020025843754410744,0.01726575754582882,128,64,128,3,128,3,torchscript,fp32,1,30,100,1.125994361937046,1.1214117985218763,1.1596218682825565,1.1846786364912987,0.04909000549353074,1.0754270479083061,1.5625781379640102,11.48388671875,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_deeponet_small_seed1_best.pt,artifacts/torchscript/burgers_deeponet_small_seed1.ts,results/jetson_deeponet_fp32/burgers_deeponet_small_torchscript_fp32.json
darcy_deeponet_base,darcy,2,"[141, 141, 3]","[141, 141, 1]",2639361,2,0.07332683354616165,0.021475525572896004,35,128,512,4,256,4,eager,fp32,1,30,100,10.039377296343446,9.66723938472569,11.354254093021154,14.01225896552205,1.0196907270581306,9.367916733026505,17.48245069757104,60.03125,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_base_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_eager_fp32.json
darcy_deeponet_base_r141,darcy,2,"[141, 141, 3]","[141, 141, 1]",2639361,2,0.07332683354616165,0.021475525572896004,35,128,512,4,256,4,eager,fp32,1,30,100,9.734002309851348,9.414080064743757,11.167336720973253,13.787421863526106,0.8527730632567223,9.125895332545042,14.234445057809353,60.03125,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r141_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_r141_eager_fp32.json
darcy_deeponet_base_r141,darcy,2,"[141, 141, 3]","[141, 141, 1]",2639361,2,0.07332683354616165,0.021475525572896004,35,128,512,4,256,4,torchscript,fp32,1,30,100,8.840896720066667,8.505027275532484,10.167466010898352,14.003845397382975,0.9541771825784211,8.179465308785439,14.551063068211079,59.8037109375,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r141_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r141_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_r141_torchscript_fp32.json
darcy_deeponet_base_r211,darcy,2,"[211, 211, 3]","[211, 211, 1]",4911105,2,0.07607058435678482,0.02503122203052044,52,128,512,4,256,4,eager,fp32,1,30,100,19.87392444629222,19.332321593537927,22.179565858095884,34.98625289648771,2.410990426253315,18.396371975541115,35.70902766659856,93.88720703125,artifacts/benchmark_inputs/darcy_r211_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r211_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_r211_eager_fp32.json
