result_tag,status,failure_class,mode,precision,checkpoint,torchscript,input_bank,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,peak_cuda_allocated_mb,json
burgers_deeponet_base_r1024_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.4745596144348383,1.3036453165113926,2.54620099440217,4.242741037160158,12.6572265625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_fp32_strict.json
burgers_deeponet_base_r1024_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.2941583152860403,1.27450842410326,1.4247540384531021,1.6879630275070667,12.6572265625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_tf32.json
burgers_deeponet_base_r2048_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.0254857894033194,3.0152411200106144,3.123597241938114,3.5889246501028538,13.759765625,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_bf16_autocast.json
burgers_deeponet_base_r2048_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.0996675696223974,3.090299665927887,3.1613577157258987,3.7005767226219177,13.759765625,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_fp16_autocast.json
burgers_deeponet_base_r2048_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.5222497060894966,2.5063271168619394,2.5926982052624226,2.974247094243765,12.04345703125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_fp16_native.json
burgers_deeponet_base_r2048_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.569579379633069,2.5537528563290834,2.6423316448926926,3.0162972398102283,14.9423828125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_fp32_strict.json
burgers_deeponet_base_r2048_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.590975286439061,2.569112926721573,2.7118390426039696,3.0455458909273148,14.9423828125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_tf32.json
burgers_deeponet_base_r2048_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r2048_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.0229549054056406,2.0057817455381155,2.1725227124989033,2.4486929178237915,13.9189453125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_torchscript_bf16_autocast.json
burgers_deeponet_base_r2048_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r2048_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.8177764676511288,1.7873260658234358,2.055366989225149,2.2247820161283016,13.9189453125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_torchscript_fp16_autocast.json
burgers_deeponet_base_r2048_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r2048_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.390210809186101,1.3772479724138975,1.4557940885424614,1.840959768742323,12.03564453125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_torchscript_fp16_native.json
burgers_deeponet_base_r2048_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r2048_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.7452120408415794,1.7304441425949335,1.8097269348800182,2.162379212677479,14.9267578125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_torchscript_fp32_strict.json
burgers_deeponet_base_r2048_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r2048_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.3337455969303846,1.3097093906253576,1.560854259878397,1.874145120382309,14.9267578125,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_torchscript_tf32.json
