experiment_name,backend,precision,status,failure_stage,rel_l2_vs_fp32,max_abs_diff_vs_fp32,mean_abs_diff_vs_fp32,error
burgers_deeponet_small,eager,tf32,success,,0.00013769949146080762,0.0005036592483520508,4.823469862458296e-05,
burgers_deeponet_small,eager,bf16_autocast,success,,0.004596990533173084,0.016696929931640625,0.0015398617833852768,
burgers_deeponet_small,eager,fp16_autocast,success,,0.0005808293353766203,0.0017300248146057129,0.00019323331071063876,
burgers_deeponet_small,eager,fp16_native,success,,0.0021278252825140953,0.010578721761703491,0.0006140439072623849,
burgers_deeponet_small,torchscript,tf32,success,,0.00013769972429145128,0.0005036592483520508,4.8234680434688926e-05,
burgers_deeponet_small,torchscript,bf16_autocast,success,,0.004596990533173084,0.016696929931640625,0.0015398617833852768,
burgers_deeponet_small,torchscript,fp16_autocast,success,,0.003267863532528281,0.015127301216125488,0.0010928830597549677,
burgers_deeponet_small,torchscript,fp16_native,success,,0.0021278252825140953,0.010578721761703491,0.0006140439072623849,
burgers_deeponet_base,eager,tf32,success,,0.0002453975612297654,0.0006858110427856445,8.642867032904178e-05,
burgers_deeponet_base,eager,bf16_autocast,success,,0.004200803581625223,0.014931917190551758,0.0014401553198695183,
burgers_deeponet_base,eager,fp16_autocast,success,,0.0005562480073422194,0.0013297870755195618,0.000192704945220612,
burgers_deeponet_base,eager,fp16_native,success,,0.0020647074561566114,0.011351078748703003,0.0005850096931681037,
burgers_deeponet_base,torchscript,tf32,success,,0.00024539721198379993,0.0006858110427856445,8.642885222798213e-05,
burgers_deeponet_base,torchscript,bf16_autocast,success,,0.004200803581625223,0.014931917190551758,0.0014401553198695183,
burgers_deeponet_base,torchscript,fp16_autocast,success,,0.0032895971089601517,0.01034766435623169,0.0011484264396131039,
burgers_deeponet_base,torchscript,fp16_native,success,,0.0020647074561566114,0.011351078748703003,0.0005850096931681037,
burgers_deeponet_large,eager,tf32,success,,0.00034122681245207787,0.0007747411727905273,0.00012238157796673477,
burgers_deeponet_large,eager,bf16_autocast,success,,0.004028783179819584,0.012535415589809418,0.0013646787265315652,
burgers_deeponet_large,eager,fp16_autocast,success,,0.0004887070972472429,0.001788496971130371,0.00016569755098316818,
burgers_deeponet_large,eager,fp16_native,success,,0.002047156449407339,0.010562077164649963,0.0005782602820545435,
burgers_deeponet_large,torchscript,tf32,success,,0.00034122634679079056,0.0007747411727905273,0.00012238151975907385,
burgers_deeponet_large,torchscript,bf16_autocast,success,,0.004028783179819584,0.012535415589809418,0.0013646787265315652,
burgers_deeponet_large,torchscript,fp16_autocast,success,,0.0028670853935182095,0.013869881629943848,0.0010263705626130104,
burgers_deeponet_large,torchscript,fp16_native,success,,0.002047156449407339,0.010562077164649963,0.0005782602820545435,
darcy_deeponet_small,eager,tf32,success,,0.00010815382120199502,4.785135388374329e-06,5.8812844372369e-07,
darcy_deeponet_small,eager,bf16_autocast,success,,0.0024370872415602207,9.65707004070282e-05,1.3209847566031385e-05,
darcy_deeponet_small,eager,fp16_autocast,success,,0.00025783790624700487,8.812174201011658e-06,1.4019652780916658e-06,
darcy_deeponet_small,eager,fp16_native,success,,0.0013809048105031252,5.0448812544345856e-05,6.479991952801356e-06,
darcy_deeponet_small,torchscript,tf32,success,,0.00010815369023475796,4.785106284543872e-06,5.881275342289882e-07,
darcy_deeponet_small,torchscript,bf16_autocast,success,,0.0024370872415602207,9.65707004070282e-05,1.3209847566031385e-05,
darcy_deeponet_small,torchscript,fp16_autocast,success,,0.0017639806028455496,7.292535156011581e-05,9.424705240235198e-06,
darcy_deeponet_small,torchscript,fp16_native,success,,0.0013809048105031252,5.0448812544345856e-05,6.479991952801356e-06,
darcy_deeponet_base,eager,tf32,success,,0.0001006234742817469,3.584660589694977e-06,5.51050277408649e-07,
darcy_deeponet_base,eager,bf16_autocast,success,,0.001955355517566204,7.648207247257233e-05,1.0691697752918117e-05,
darcy_deeponet_base,eager,fp16_autocast,success,,0.0002591978991404176,1.2286938726902008e-05,1.4084279200687888e-06,
darcy_deeponet_base,eager,fp16_native,success,,0.0014545994345098734,5.3851399570703506e-05,6.681976628897246e-06,
darcy_deeponet_base,torchscript,tf32,success,,0.00010062344517791644,3.584660589694977e-06,5.510501637218113e-07,
darcy_deeponet_base,torchscript,bf16_autocast,success,,0.001955355517566204,7.648207247257233e-05,1.0691697752918117e-05,
darcy_deeponet_base,torchscript,fp16_autocast,success,,0.001320063485763967,4.611629992723465e-05,7.18831552148913e-06,
darcy_deeponet_base,torchscript,fp16_native,success,,0.0014545994345098734,5.3851399570703506e-05,6.681976628897246e-06,
darcy_deeponet_large,eager,tf32,success,,0.00012229759886395186,4.740431904792786e-06,6.631713063143252e-07,
darcy_deeponet_large,eager,bf16_autocast,success,,0.0019061905331909657,7.512234151363373e-05,1.0408894013380632e-05,
darcy_deeponet_large,eager,fp16_autocast,success,,0.0002329687704332173,1.1268071830272675e-05,1.2664803534789826e-06,
darcy_deeponet_large,eager,fp16_native,success,,0.001561564626172185,5.316128954291344e-05,7.268660738191102e-06,
darcy_deeponet_large,torchscript,tf32,success,,0.00012229752610437572,4.740431904792786e-06,6.631713063143252e-07,
darcy_deeponet_large,torchscript,bf16_autocast,success,,0.0019061905331909657,7.512234151363373e-05,1.0408894013380632e-05,
darcy_deeponet_large,torchscript,fp16_autocast,success,,0.0013531543081626296,5.476921796798706e-05,7.302508947759634e-06,
darcy_deeponet_large,torchscript,fp16_native,success,,0.001561564626172185,5.316128954291344e-05,7.268660738191102e-06,
burgers_deeponet_base_r512,eager,tf32,success,,0.00016839572344906628,0.0003762245178222656,5.961469287285581e-05,
burgers_deeponet_base_r512,eager,bf16_autocast,success,,0.004129158332943916,0.011691242456436157,0.001454144949093461,
burgers_deeponet_base_r512,eager,fp16_autocast,success,,0.0004797304864041507,0.001274101436138153,0.00017380443750880659,
burgers_deeponet_base_r512,eager,fp16_native,success,,0.0018099171575158834,0.0077669620513916016,0.0005454641650430858,
burgers_deeponet_base_r512,torchscript,tf32,success,,0.00016839741147123277,0.0003762245178222656,5.9614991187117994e-05,
burgers_deeponet_base_r512,torchscript,bf16_autocast,success,,0.004129158332943916,0.011691242456436157,0.001454144949093461,
burgers_deeponet_base_r512,torchscript,fp16_autocast,success,,0.0027184337377548218,0.01215621829032898,0.0009161169873550534,
burgers_deeponet_base_r512,torchscript,fp16_native,success,,0.0018099171575158834,0.0077669620513916016,0.0005454641650430858,
burgers_deeponet_base_r1024,eager,tf32,success,,0.00015329600137192756,0.000440061092376709,5.3312025556806475e-05,
burgers_deeponet_base_r1024,eager,bf16_autocast,success,,0.004291406366974115,0.01168358325958252,0.0014305070508271456,
burgers_deeponet_base_r1024,eager,fp16_autocast,success,,0.0005423183320090175,0.0012371540069580078,0.00018956440908368677,
burgers_deeponet_base_r1024,eager,fp16_native,success,,0.0016634523635730147,0.0110664963722229,0.0004772079992108047,
