experiment_name,task,spatial_dim,input_shape,parameter_count,selected_seed,test_rel_l2_mean,test_rel_l2_std,sensor_resolution,basis_dim,branch_hidden_dim,branch_layers,trunk_hidden_dim,trunk_layers,result_tag,backend,precision,median_ms,mean_ms,p95_ms,p99_ms,throughput_inf_s,avg_power_w,median_power_w,p95_power_w,peak_power_w,energy_per_inference_j,avg_gpu_temp_c,peak_gpu_temp_c,avg_cpu_temp_c,peak_cpu_temp_c,peak_cuda_allocated_mb,tegrastats_samples,duration_sec_actual,num_inferences,checkpoint,torchscript,input_bank,tegrastats_raw,json
burgers_deeponet_base,burgers,1,"[2048, 2]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,burgers_deeponet_base_torchscript_bf16_autocast_120s,torchscript,bf16_autocast,1.7789839766919613,1.797935750879893,1.889192033559084,2.2018100135028362,467.9595377273183,11.73673949579832,11.755,11.796,11.837,0.025080671617034887,55.63064705882353,57.0,56.15429411764706,57.593,13.9189453125,119,120.00182809121907,56156,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_bf16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_bf16_autocast_120s.json
burgers_deeponet_base,burgers,1,"[2048, 2]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,burgers_deeponet_base_torchscript_fp16_autocast_120s,torchscript,fp16_autocast,1.7114332877099514,1.7310185022126017,1.820140052586794,2.0988350734114647,484.41778400360624,11.719512605042016,11.714,11.796,11.837,0.024192985873026433,54.77694117647059,55.156,55.26819327731092,55.656,13.9189453125,119,120.0017875470221,58131,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_autocast_120s.json
burgers_deeponet_base,burgers,1,"[2048, 2]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,burgers_deeponet_base_torchscript_fp16_native_120s,torchscript,fp16_native,1.2551355175673962,1.2701485880628738,1.328865997493267,1.5329672023653984,610.4378912575239,11.647890756302521,11.632,11.755,11.837,0.01908120534966702,55.090201680672266,56.031,55.594966386554624,56.468,12.03564453125,119,120.00238033896312,73254,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_native_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_native_120s.json
burgers_deeponet_base,burgers,1,"[2048, 2]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,burgers_deeponet_base_torchscript_fp32_strict_120s,torchscript,fp32_strict,1.6938471235334873,1.7275470021260686,1.8631331622600555,2.443566918373108,474.22826180992814,16.322991596638655,16.337,16.499,16.54,0.03442011560918094,58.593932773109245,62.5,58.11123529411765,62.343,14.9267578125,119,120.00339200114831,56909,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp32_strict_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp32_strict_120s.json
burgers_deeponet_base,burgers,1,"[2048, 2]",461313,2,0.019306663423776627,0.014140662737190723,256,128,256,4,256,4,burgers_deeponet_base_torchscript_tf32_120s,torchscript,tf32,1.2583131901919842,1.2766311606227239,1.3461560010910034,1.5713153406977654,621.2453445829477,13.958235294117648,13.964,14.087,14.25,0.02246815274485162,60.17294957983193,61.718,60.37254621848739,61.937,14.9267578125,119,120.0025089122355,74551,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_tf32_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_tf32_120s.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,darcy_deeponet_base_r281_torchscript_bf16_autocast_120s,torchscript,bf16_autocast,25.61530121602118,26.2018707650809,28.907130006700754,40.79300118610263,36.61256053986192,21.208193277310926,21.174,21.416,21.536,0.5792600398494531,73.70078151260505,74.343,72.43079831932774,73.093,106.2021484375,119,120.0134580922313,4394,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,artifacts/benchmark_inputs/darcy_r281_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_bf16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_bf16_autocast_120s.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,darcy_deeponet_base_r281_torchscript_fp16_autocast_120s,torchscript,fp16_autocast,25.11820150539279,25.682151118679208,28.409329243004322,37.64321329072118,37.409181307433954,21.573655462184874,21.577,21.697,21.697,0.5766941351880843,73.79584033613446,74.343,72.72232773109243,73.25,106.2021484375,119,120.02401130087674,4490,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,artifacts/benchmark_inputs/darcy_r281_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_autocast_120s.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,darcy_deeponet_base_r281_torchscript_fp16_native_120s,torchscript,fp16_native,10.549879865720868,10.791889510302852,11.801871005445719,17.71914167329669,84.30842518446444,21.364193277310925,21.375,21.456,21.536,0.25340519919055154,73.84842016806724,74.406,72.47917647058824,73.062,58.49853515625,119,120.01173047488555,10118,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,artifacts/benchmark_inputs/darcy_r281_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_native_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_native_120s.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,darcy_deeponet_base_r281_torchscript_fp32_strict_120s,torchscript,fp32_strict,35.117800580337644,35.90373177323975,39.291522931307554,51.388443913310766,26.928889175276886,21.391310924369748,21.416,21.536,21.577,0.7943629157941231,73.68005882352941,74.218,71.68103361344538,72.312,107.2646484375,119,120.01980397198349,3232,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,artifacts/benchmark_inputs/darcy_r281_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp32_strict_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp32_strict_120s.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,darcy_deeponet_base_r281_torchscript_tf32_120s,torchscript,tf32,16.731744166463614,17.094510882235586,18.534741830080748,26.311971712857485,55.03473385599208,22.62546218487395,22.672,22.832,22.872,0.4111124121010087,73.60521848739496,74.437,71.95179831932774,72.875,107.2646484375,119,120.01511658588424,6605,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,artifacts/benchmark_inputs/darcy_r281_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_tf32_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_tf32_120s.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,darcy_deeponet_base_r421_torchscript_bf16_autocast_120s,torchscript,bf16_autocast,54.5528944930993,54.58122270371288,55.237350054085255,55.773145984858274,17.909386811067773,20.444621848739494,20.45,20.49,20.53,1.141559008380174,,,,,145.27783203125,119,120.0487779219402,2150,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,artifacts/benchmark_inputs/darcy_r421_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_bf16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_bf16_autocast_120s.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,darcy_deeponet_base_r421_torchscript_fp16_autocast_120s,torchscript,fp16_autocast,53.92286699498072,53.94854420882143,54.44163701031357,54.70878293272108,18.11598610659304,20.70464705882353,20.698,20.772,20.94,1.142893736890667,,,,,145.27783203125,119,120.00450801895931,2174,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,artifacts/benchmark_inputs/darcy_r421_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp16_autocast_120s.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,darcy_deeponet_base_r421_torchscript_fp16_native_120s,torchscript,fp16_native,22.423044487368315,22.386351719585093,22.919447044841945,23.064092034474015,42.09743762752782,20.93964705882353,20.94,21.02,21.147,0.49740906427831955,,,,,78.50537109375,119,120.00730411906261,5052,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,artifacts/benchmark_inputs/darcy_r421_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp16_native_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp16_native_120s.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,darcy_deeponet_base_r421_torchscript_fp32_strict_120s,torchscript,fp32_strict,64.50454902369529,64.66123960887639,65.71022898424417,67.44186894502491,15.147543117615694,22.718966386554623,22.716,22.796,22.836,1.499844972227464,,,,,146.52783203125,119,120.01946361095179,1818,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,artifacts/benchmark_inputs/darcy_r421_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp32_strict_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_fp32_strict_120s.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,darcy_deeponet_base_r421_torchscript_tf32_120s,torchscript,tf32,34.57758546574041,34.54516858428456,35.13656591530889,35.455968929454684,27.849536824822984,22.986226890756303,22.996,23.076,23.116,0.8253719634672023,,,,,146.52783203125,119,120.00199576106388,3342,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,artifacts/benchmark_inputs/darcy_r421_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_tf32_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_r421_torchscript_tf32_120s.json
darcy_deeponet_base,darcy,2,"[141, 141, 3]",2639361,2,0.07332683354616165,0.021475525572896004,35,128,512,4,256,4,darcy_deeponet_base_torchscript_bf16_autocast_120s,torchscript,bf16_autocast,4.6060532331466675,4.7472238690595185,5.159733816981316,7.501690648496151,177.7878527570311,17.262596638655463,17.339,17.42,17.501,0.09709660345719412,72.3956386554622,73.062,71.8709411764706,72.593,58.7275390625,119,120.00257424311712,21335,artifacts/checkpoints/darcy_deeponet_base_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_seed2.ts,artifacts/benchmark_inputs/darcy_r141_bank.pt,results/jetson_deeponet_long_energy/darcy_deeponet_base_torchscript_bf16_autocast_120s_tegrastats_raw.log,results/jetson_deeponet_long_energy/darcy_deeponet_base_torchscript_bf16_autocast_120s.json
