amp_mode,avg_ms,avg_ms_source_key,avg_power_w,avg_power_w_source_key,case,case_clean,exit_status,has_report,j_per_it,j_per_it_source_key,max_mode,max_temp_c,max_temp_c_source_key,median_ms,median_ms_source_key,model_path,num_layers,num_nodes,num_nodes_source_key,num_samples,num_samples_source_key,p95_ms,p95_ms_source_key,params,params_source_key,peak_ram_mb,peak_ram_mb_source_key,rel_l2,rel_l2_source_key,run_dir,run_ts,spatial,spectral,width,_merged_keys
off,456.2478665382631,avg_latency_ms,8.40721625544267,avg_power_w,full_fp32_feas,full_fp32,0,True,3.844225600662535,energy_j_per_sample_from_total,64,53.218,max_temp_c,478.45458984375,p50_latency_ms,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,10,3977.0,num_nodes,310.0,num_samples,524.4856119155884,p95_latency_ms,1661828.0,model_params,5027.0,peak_ram_used_mb,0.04205924099040849,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_feas_r1,bench2_full_fp32_feas_r1,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
fp16,554.0697589997322,avg_latency_ms,7.1512747909199526,avg_power_w,full_ampfp16,full_ampfp16,0,True,3.9768810270471118,energy_j_per_sample_from_total,64,51.218,max_temp_c,511.7143392562866,p50_latency_ms,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,10,3977.0,num_nodes,310.0,num_samples,671.340811252594,p95_latency_ms,1661828.0,model_params,5769.0,peak_ram_used_mb,0.04850386179412805,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r1,bench2_full_ampfp16_r1,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
fp16,612.369353540482,avg_latency_ms,6.983791351351352,avg_power_w,full_ampfp16,full_ampfp16,0,True,4.290612215257475,energy_j_per_sample_from_total,64,46.187,max_temp_c,630.2498579025269,p50_latency_ms,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,10,3977.0,num_nodes,310.0,num_samples,673.7316608428955,p95_latency_ms,1661828.0,model_params,5754.0,peak_ram_used_mb,0.04850590444590536,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2,bench2_full_ampfp16_r2,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
fp16,624.889003076861,avg_latency_ms,6.9360010593220345,avg_power_w,full_ampfp16,full_ampfp16,0,True,4.347891451423424,energy_j_per_sample_from_total,64,44.125,max_temp_c,632.8926086425781,p50_latency_ms,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,10,3977.0,num_nodes,310.0,num_samples,672.7696061134338,p95_latency_ms,1661828.0,model_params,5754.0,peak_ram_used_mb,0.04850618214376511,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r3,bench2_full_ampfp16_r3,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,77.67307296875984,avg_latency_ms,7.089924369747899,avg_power_w,spectral_fp32,spectral_fp32,0,True,0.5557574857265716,energy_j_per_sample_from_total,64,45.031,max_temp_c,77.96084880828857,p50_latency_ms,/home/jetson/VirSO/best_model_spectral.pth,10,3977.0,num_nodes,310.0,num_samples,83.33953619003296,p95_latency_ms,1584782.0,model_params,5452.0,peak_ram_used_mb,0.04538138984822698,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1,bench2_spectral_fp32_r1,0,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,76.33620539019185,avg_latency_ms,7.268649572649572,avg_power_w,spectral_fp32,spectral_fp32,0,True,0.5599158950544174,energy_j_per_sample_from_total,64,46.031,max_temp_c,77.14307308197021,p50_latency_ms,/home/jetson/VirSO/best_model_spectral.pth,10,3977.0,num_nodes,310.0,num_samples,82.23131895065308,p95_latency_ms,1584782.0,model_params,5446.0,peak_ram_used_mb,0.04538138984822698,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r2,bench2_spectral_fp32_r2,0,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,77.31161502099806,avg_latency_ms,7.1966890756302515,avg_power_w,spectral_fp32,spectral_fp32,0,True,0.5643379538636057,energy_j_per_sample_from_total,64,46.812,max_temp_c,77.67164707183838,p50_latency_ms,/home/jetson/VirSO/best_model_spectral.pth,10,3977.0,num_nodes,310.0,num_samples,83.70504379272461,p95_latency_ms,1584782.0,model_params,5450.0,peak_ram_used_mb,0.04538138984822698,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r3,bench2_spectral_fp32_r3,0,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,144.15985384295064,avg_latency_ms,7.476908675799087,avg_power_w,layer2_fp32,layer2_fp32,0,True,1.0836788232872565,energy_j_per_sample_from_total,40,47.937,max_temp_c,141.2811279296875,p50_latency_ms,/home/jetson/VirSO/best_model_2_layer.pth,2,3977.0,num_nodes,310.0,num_samples,157.06177949905396,p95_latency_ms,256460.0,model_params,5623.0,peak_ram_used_mb,0.09776356523976691,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r1,bench2_layer2_fp32_r1,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,143.91311906999158,avg_latency_ms,7.473036529680366,avg_power_w,layer2_fp32,layer2_fp32,0,True,1.0832882717486354,energy_j_per_sample_from_total,40,48.781,max_temp_c,142.7065134048462,p50_latency_ms,/home/jetson/VirSO/best_model_2_layer.pth,2,3977.0,num_nodes,310.0,num_samples,159.83318090438843,p95_latency_ms,256460.0,model_params,5636.0,peak_ram_used_mb,0.09776356352433081,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r2,bench2_layer2_fp32_r2,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
off,147.6690484631446,avg_latency_ms,7.509684444444444,avg_power_w,layer2_fp32,layer2_fp32,0,True,1.1183959056392798,energy_j_per_sample_from_total,40,49.375,max_temp_c,144.52683925628662,p50_latency_ms,/home/jetson/VirSO/best_model_2_layer.pth,2,3977.0,num_nodes,310.0,num_samples,160.6991410255432,p95_latency_ms,256460.0,model_params,5632.0,peak_ram_used_mb,0.0977635639990049,avg_total_loss,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3,bench2_layer2_fp32_r3,1,1,48,amp_mode;amp_resolved_dtype;analytic_flops_per_sample;avg_cpu_util_pct;avg_gpu_freq_mhz;avg_gpu_util_pct;avg_latency_ms;avg_power_w;avg_pressure_loss;avg_ram_used_mb;avg_total_loss;avg_vx_loss;avg_vy_loss;avg_vz_loss;collab_skip;cuda_version;dataset_build_time_s;dataset_largest_mode;device;dry_prediction_path;dry_target_path;edp_j_s;elapsed_s;embed;energy_j_per_sample_est;energy_j_per_sample_from_total;energy_j_total;factor_of_lower;gpu_name;graph_type;inference_elapsed_wall_s;inference_end_wall_s;inference_start_wall_s;input_dim;k;k_lower;k_neighbors;latency_s_per_iteration;log_file;macs_per_sample;max_mode;max_temp_c;mean_dt_s;median_power_w;model_checkpoint;model_checkpoint_name;model_max_mode;model_params;monitor_cmd;monitor_log;num_edges;num_layers;num_nodes;num_samples;output_dim;p50_latency_ms;p95_latency_ms;peak_gpu_mem_mb;peak_gpu_util_pct;peak_power_w;peak_ram_used_mb;power_source;predictions_path;predictions_shape;profiled_flops_per_sample;r;ram_total_mb;report_dir;run_dir;run_status;run_ts;single_sample_latency_ms;spatial;spectral;spectral_skip;start_radius;targets_path;targets_shape;tegrastats_time_stamps_count;throughput_from_latency_samples_per_s;throughput_samples_per_s;torch_version;total_inference_time_s;width
