family,case,n_reps,med_ms_mean,med_ms_std,avg_w_mean,avg_w_std,j_per_inf_mean,j_per_inf_std,gpu_mb_torch_mean,gpu_mb_torch_std,gpu_mb_residency_mean,gpu_mb_residency_std
fno,fno_burgers_small_r2048,3,2.3156049040456614,0.018121654817883966,138.84968438538206,0.9116930443564643,0.3295946497449197,0.0031670403224830458,35.07470703125,0.0,785.0,0.0
fno,fno_burgers_base_r2048,3,2.3365413459638753,0.06005400935903674,141.2241362126246,0.13537268853148718,0.3342180889304033,0.007697006321469988,37.05615234375,0.0,787.0,0.0
fno,fno_burgers_large_r2048,3,3.329981390076379,0.0299772109822061,140.48490586932448,0.586864675614637,0.4699424222181613,0.003380573104160532,42.2119140625,0.0,793.0,0.0
fno,fno_darcy_small_r141,3,3.046525603470703,0.11643272553114402,154.33757931133604,0.5973884767997,0.4728042697860425,0.016173927580154315,52.74853515625,0.0,813.0,0.0
fno,fno_darcy_base_r141,3,2.9935629960770407,0.020051482235550443,159.78266888150608,0.18348428179951126,0.4808368751597637,0.002563738431908848,79.20947265625,0.0,843.0,0.0
fno,fno_darcy_large_r141,3,4.141357416907947,0.3380892924693364,203.0432281284607,4.971179302355235,0.8371820087816345,0.04079251694858501,289.6689453125,0.0,1045.0,0.0
deeponet,deeponet_burgers_small_r2048,3,0.981530329833428,0.09524103542094774,134.7603100775194,0.6265974107018855,0.15282457687730974,0.013432622929197065,35.37451171875,0.0,767.0,0.0
deeponet,deeponet_burgers_base_r2048,3,1.0415063394854467,0.04641707919910342,141.4889534883721,0.3871054353722274,0.16784954832766133,0.0066389754892730805,38.8173828125,0.0,769.0,0.0
deeponet,deeponet_burgers_large_r2048,3,1.227953121997416,0.07903008896926957,167.28928017718715,2.8087685928173562,0.2304153048599272,0.01073630834708982,50.08154296875,0.0,795.0,0.0
deeponet,deeponet_darcy_small_r141,3,1.0044201432416837,0.06999181107598926,145.50884828349945,0.693757992128153,0.23292691925805625,0.01073995630661141,55.2158203125,0.0,789.0,0.0
deeponet,deeponet_darcy_base_r141,3,1.1431456465894978,0.060083042008664815,188.30702657807308,1.8137412052432407,0.33489828249044973,0.007584621785488329,82.736328125,0.0,811.0,0.0
deeponet,deeponet_darcy_large_r141,3,1.4732725297411282,0.020306694544502017,262.34652823920266,2.37422876650507,0.5536812262816033,0.004729696792800669,121.08935546875,0.0,851.0,0.0
wno,wno_burgers_small_r2048,3,14.199864390927056,0.5867939429594305,142.55458817025982,0.17035401972501243,2.0310428482467886,0.07759209739306144,35.49169921875,0.0,777.0,0.0
wno,wno_burgers_base_r2048,3,14.587264158762991,0.2264164909369109,143.03725815367605,0.225298051312354,2.0937780213862935,0.031070916755561746,36.26806640625,0.0,779.0,0.0
wno,wno_burgers_large_r2048,3,16.82343667683502,0.7833282027696999,144.17624101713653,0.12483283181764764,2.4365690059501866,0.1111035031968132,39.9833984375,0.0,783.0,0.0
wno,wno_darcy_small_r141,3,22.620343874829512,0.35584114960892815,146.2848590381426,0.253269226944881,3.325180064635004,0.05216452383370913,53.60888671875,0.0,799.0,0.0
wno,wno_darcy_base_r141,3,22.883347895306844,1.0499947951229616,148.00279712548368,0.42256862385926064,3.393981203077054,0.13501693956697278,54.38037109375,0.0,803.0,0.0
wno,wno_darcy_large_r141,3,26.189652543204527,0.575748999319461,151.2399115533444,0.403386035636521,3.961810827512752,0.08004123086062404,57.134765625,0.0,805.0,0.0
sp2gno,sp2gno_burgers_small_r2048,3,5.286845689018567,0.10546322073764333,152.5537539222678,0.7604664325657778,0.8108458955993638,0.009937567765724352,42.4638671875,0.0,771.0,0.0
sp2gno,sp2gno_burgers_base_r2048,3,5.326433184867104,0.024325395947343523,152.71034051971608,0.3215375972413138,0.8220604235540977,0.0033290231340343318,44.1162109375,0.0,773.0,0.0
sp2gno,sp2gno_burgers_large_r2048,3,5.407956972097357,0.19823651503307826,155.41476532289937,0.33458957582159504,0.8473399951985721,0.02977134656435052,49.17333984375,0.0,797.0,0.0
sp2gno,sp2gno_darcy_small_r141,3,7.17457589538147,0.11541663182129158,261.8442269821068,2.046464540842449,1.9022819243908313,0.021262345451044346,232.60888671875,0.0,975.0,0.0
sp2gno,sp2gno_darcy_base_r141,3,8.422980822312335,0.0390939394580964,249.9161353371184,1.870595537279926,2.13691995557576,0.0074397995609564406,253.44580078125,0.0,989.0,0.0
sp2gno,sp2gno_darcy_large_r141,3,8.03599712283661,0.18794051847869112,293.3642522395127,4.1929979963193915,2.385200252002155,0.029125677937707175,315.73779296875,0.0,1111.0,0.0
hx,hx_full,3,10.766824086507162,0.32614112405748896,184.4196070621866,1.6924165836955436,1.9906531562031688,0.040210403680855954,133.15625,0.0,913.0,0.0
hx,hx_spectral,3,5.707740783691406,0.041191021616002334,138.4196421525225,0.45700608719122304,0.7932536398233764,0.0038303004322245604,53.5732421875,0.0,809.0,0.0
hx,hx_layer2,3,3.102461496988932,0.09269227312494507,170.45948505858084,1.1023061346383813,0.530697526723939,0.012881192849180594,127.75390625,0.0,907.0,0.0
