Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
98.4,933869696,1,933869696.0,933869696.0,933869696,933869696,0.0,PushPop,:deeponet_profile_forward
1.6,15320544,1,15320544.0,15320544.0,15320544,15320544,0.0,PushPop,cuBLAS:cublasCreate_v2
