Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
99.2,2145341344,1,2145341344.0,2145341344.0,2145341344,2145341344,0.0,PushPop,:deeponet_profile_forward
0.8,17304992,1,17304992.0,17304992.0,17304992,17304992,0.0,PushPop,cuBLAS:cublasCreate_v2
