Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
99.3,2220838656,1,2220838656.0,2220838656.0,2220838656,2220838656,0.0,PushPop,:deeponet_profile_forward
0.7,15374368,1,15374368.0,15374368.0,15374368,15374368,0.0,PushPop,cuBLAS:cublasCreate_v2
