Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
99.0,1429140128,1,1429140128.0,1429140128.0,1429140128,1429140128,0.0,PushPop,:deeponet_profile_forward
1.0,15118112,1,15118112.0,15118112.0,15118112,15118112,0.0,PushPop,cuBLAS:cublasCreate_v2
