2026/07/15 02:01:16.264, 144.21, 781, 23, 10
2026/07/15 02:01:16.468, 143.90, 781, 23, 9
2026/07/15 02:01:16.668, 143.50, 781, 23, 0
2026/07/15 02:01:16.868, 142.99, 781, 23, 0
2026/07/15 02:01:17.068, 142.77, 783, 23, 0
2026/07/15 02:01:17.268, 142.70, 783, 23, 10
2026/07/15 02:01:17.468, 142.99, 783, 23, 10
2026/07/15 02:01:17.669, 143.37, 783, 23, 10
2026/07/15 02:01:17.869, 143.85, 783, 23, 10
2026/07/15 02:01:18.069, 144.14, 783, 23, 10
2026/07/15 02:01:18.269, 144.11, 783, 23, 10
2026/07/15 02:01:18.469, 144.09, 783, 23, 10
2026/07/15 02:01:18.669, 144.17, 783, 23, 10
2026/07/15 02:01:18.869, 144.20, 783, 23, 10
2026/07/15 02:01:19.069, 144.19, 783, 23, 10
2026/07/15 02:01:19.269, 144.32, 783, 23, 10
2026/07/15 02:01:19.469, 144.42, 783, 23, 10
2026/07/15 02:01:19.669, 144.43, 783, 23, 10
2026/07/15 02:01:19.869, 144.32, 783, 23, 10
2026/07/15 02:01:20.069, 144.38, 783, 23, 10
2026/07/15 02:01:20.269, 144.32, 783, 23, 10
2026/07/15 02:01:20.469, 144.18, 783, 23, 10
2026/07/15 02:01:20.670, 144.12, 783, 23, 10
2026/07/15 02:01:20.870, 144.21, 783, 23, 10
2026/07/15 02:01:21.070, 144.18, 783, 23, 10
2026/07/15 02:01:21.270, 144.18, 783, 23, 10
2026/07/15 02:01:21.470, 144.16, 783, 23, 10
2026/07/15 02:01:21.670, 144.17, 783, 23, 10
2026/07/15 02:01:21.870, 144.13, 783, 23, 10
2026/07/15 02:01:22.070, 144.12, 783, 23, 10
2026/07/15 02:01:22.270, 144.17, 783, 23, 10
2026/07/15 02:01:22.470, 144.17, 783, 23, 10
2026/07/15 02:01:22.670, 144.18, 783, 23, 10
2026/07/15 02:01:22.870, 144.22, 783, 23, 10
2026/07/15 02:01:23.070, 144.24, 783, 23, 10
2026/07/15 02:01:23.270, 144.28, 783, 23, 10
2026/07/15 02:01:23.471, 144.36, 783, 23, 10
2026/07/15 02:01:23.671, 144.34, 783, 23, 10
2026/07/15 02:01:23.871, 144.33, 783, 23, 10
2026/07/15 02:01:24.071, 144.34, 783, 23, 10
2026/07/15 02:01:24.271, 144.24, 783, 23, 10
2026/07/15 02:01:24.471, 144.19, 783, 23, 10
2026/07/15 02:01:24.671, 144.21, 783, 23, 10
2026/07/15 02:01:24.871, 144.21, 783, 23, 10
2026/07/15 02:01:25.071, 144.21, 783, 23, 10
2026/07/15 02:01:25.271, 144.28, 783, 23, 10
2026/07/15 02:01:25.471, 144.27, 783, 23, 10
2026/07/15 02:01:25.671, 144.29, 783, 23, 10
2026/07/15 02:01:25.871, 144.30, 783, 23, 10
2026/07/15 02:01:26.071, 144.24, 783, 23, 10
2026/07/15 02:01:26.271, 144.19, 783, 23, 10
2026/07/15 02:01:26.472, 144.23, 783, 23, 10
2026/07/15 02:01:26.672, 144.12, 783, 23, 10
2026/07/15 02:01:26.872, 144.13, 783, 23, 10
2026/07/15 02:01:27.072, 144.16, 783, 23, 10
2026/07/15 02:01:27.272, 144.19, 783, 23, 10
2026/07/15 02:01:27.472, 144.18, 783, 23, 10
2026/07/15 02:01:27.672, 144.19, 783, 23, 10
2026/07/15 02:01:27.872, 144.18, 783, 23, 10
2026/07/15 02:01:28.072, 144.15, 783, 23, 10
2026/07/15 02:01:28.272, 144.09, 783, 23, 10
2026/07/15 02:01:28.472, 144.04, 783, 23, 10
2026/07/15 02:01:28.672, 144.04, 783, 23, 10
2026/07/15 02:01:28.872, 143.99, 783, 23, 10
2026/07/15 02:01:29.072, 144.06, 783, 23, 10
2026/07/15 02:01:29.272, 144.13, 783, 23, 10
2026/07/15 02:01:29.473, 144.15, 783, 23, 10
2026/07/15 02:01:29.673, 144.20, 783, 23, 10
2026/07/15 02:01:29.873, 144.23, 783, 23, 10
2026/07/15 02:01:30.073, 144.19, 783, 23, 10
2026/07/15 02:01:30.273, 144.15, 783, 23, 10
2026/07/15 02:01:30.473, 144.18, 783, 23, 10
2026/07/15 02:01:30.673, 144.16, 783, 23, 10
2026/07/15 02:01:30.873, 144.19, 783, 23, 10
2026/07/15 02:01:31.073, 144.20, 783, 23, 10
2026/07/15 02:01:31.273, 144.21, 783, 23, 10
2026/07/15 02:01:31.473, 144.20, 783, 23, 10
2026/07/15 02:01:31.673, 144.19, 783, 23, 10
2026/07/15 02:01:31.873, 144.21, 783, 23, 10
2026/07/15 02:01:32.073, 144.23, 783, 23, 10
2026/07/15 02:01:32.274, 144.22, 783, 23, 10
2026/07/15 02:01:32.474, 144.19, 783, 23, 10
2026/07/15 02:01:32.674, 144.15, 783, 23, 10
2026/07/15 02:01:32.874, 144.15, 783, 23, 10
2026/07/15 02:01:33.074, 144.13, 783, 23, 10
2026/07/15 02:01:33.274, 144.17, 783, 23, 10
2026/07/15 02:01:33.474, 144.16, 783, 23, 10
2026/07/15 02:01:33.674, 144.21, 783, 23, 10
2026/07/15 02:01:33.874, 144.19, 783, 23, 10
2026/07/15 02:01:34.074, 144.21, 783, 23, 10
2026/07/15 02:01:34.274, 144.19, 783, 23, 10
2026/07/15 02:01:34.474, 144.23, 783, 23, 10
2026/07/15 02:01:34.674, 144.21, 783, 23, 10
2026/07/15 02:01:34.874, 144.17, 783, 23, 10
2026/07/15 02:01:35.074, 144.12, 783, 23, 10
2026/07/15 02:01:35.275, 144.13, 783, 23, 10
2026/07/15 02:01:35.475, 144.05, 783, 23, 10
2026/07/15 02:01:35.675, 144.02, 783, 23, 10
2026/07/15 02:01:35.875, 144.03, 783, 23, 10
2026/07/15 02:01:36.075, 144.03, 783, 23, 10
2026/07/15 02:01:36.275, 144.04, 783, 23, 10
2026/07/15 02:01:36.475, 144.09, 783, 23, 10
2026/07/15 02:01:36.675, 144.17, 783, 23, 10
2026/07/15 02:01:36.875, 144.14, 783, 23, 10
2026/07/15 02:01:37.075, 144.20, 783, 23, 10
2026/07/15 02:01:37.275, 144.14, 783, 23, 10
2026/07/15 02:01:37.475, 144.20, 783, 23, 10
2026/07/15 02:01:37.675, 144.20, 783, 23, 10
2026/07/15 02:01:37.875, 144.31, 783, 23, 10
2026/07/15 02:01:38.076, 144.33, 783, 23, 10
2026/07/15 02:01:38.276, 144.33, 783, 23, 10
2026/07/15 02:01:38.476, 144.27, 783, 23, 10
2026/07/15 02:01:38.676, 144.27, 783, 23, 10
2026/07/15 02:01:38.876, 144.23, 783, 23, 10
2026/07/15 02:01:39.076, 144.18, 783, 23, 10
2026/07/15 02:01:39.276, 144.22, 783, 23, 10
2026/07/15 02:01:39.476, 144.20, 783, 23, 10
2026/07/15 02:01:39.676, 144.21, 783, 23, 10
2026/07/15 02:01:39.876, 144.23, 783, 23, 10
2026/07/15 02:01:40.076, 144.20, 783, 23, 10
2026/07/15 02:01:40.276, 144.26, 783, 23, 10
2026/07/15 02:01:40.476, 144.30, 783, 23, 10
2026/07/15 02:01:40.676, 144.24, 783, 23, 10
2026/07/15 02:01:40.877, 144.20, 783, 23, 10
2026/07/15 02:01:41.077, 144.23, 783, 23, 10
2026/07/15 02:01:41.277, 144.20, 783, 23, 10
2026/07/15 02:01:41.477, 144.21, 783, 23, 10
2026/07/15 02:01:41.677, 144.21, 783, 23, 10
2026/07/15 02:01:41.877, 144.20, 783, 23, 10
2026/07/15 02:01:42.077, 144.22, 783, 23, 10
2026/07/15 02:01:42.277, 144.25, 783, 23, 10
2026/07/15 02:01:42.477, 144.25, 783, 23, 10
2026/07/15 02:01:42.677, 144.31, 783, 23, 10
2026/07/15 02:01:42.877, 144.32, 783, 23, 10
2026/07/15 02:01:43.077, 144.37, 783, 23, 10
2026/07/15 02:01:43.277, 144.36, 783, 23, 10
2026/07/15 02:01:43.477, 144.37, 783, 23, 10
2026/07/15 02:01:43.677, 144.40, 783, 23, 10
2026/07/15 02:01:43.878, 144.46, 783, 23, 10
2026/07/15 02:01:44.078, 144.43, 783, 23, 10
2026/07/15 02:01:44.278, 144.40, 783, 23, 10
2026/07/15 02:01:44.478, 144.39, 783, 23, 10
2026/07/15 02:01:44.678, 144.38, 783, 23, 10
2026/07/15 02:01:44.878, 144.36, 783, 23, 10
2026/07/15 02:01:45.078, 144.37, 783, 23, 10
2026/07/15 02:01:45.278, 144.38, 783, 23, 10
2026/07/15 02:01:45.478, 144.36, 783, 23, 10
2026/07/15 02:01:45.678, 144.39, 783, 23, 10
2026/07/15 02:01:45.878, 144.35, 783, 23, 10
2026/07/15 02:01:46.078, 144.35, 783, 23, 10
2026/07/15 02:01:46.278, 144.36, 783, 23, 10
2026/07/15 02:01:46.478, 144.36, 783, 23, 10
2026/07/15 02:01:46.678, 144.28, 783, 23, 10
2026/07/15 02:01:46.878, 144.26, 783, 23, 10
