08-04-2026 19:11:05 RAM 3772/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,9%@1728,0%@1728] GR3D_FREQ 48% cpu@63.093C soc2@61.781C soc0@62.5C gpu@63.218C tj@63.593C soc1@63.593C VDD_IN 11841mW/11524mW VDD_CPU_GPU_CV 4762mW/4543mW VDD_SOC 3103mW/3062mW
08-04-2026 19:11:05 RAM 3772/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,9%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.125C soc2@61.843C soc0@62.343C gpu@63.218C tj@63.375C soc1@63.375C VDD_IN 11841mW/11549mW VDD_CPU_GPU_CV 4803mW/4563mW VDD_SOC 3103mW/3066mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [18%@1728,16%@1728,16%@1728,100%@1728,10%@1728,27%@1728] GR3D_FREQ 46% cpu@63.437C soc2@61.718C soc0@62.281C gpu@63.312C tj@63.593C soc1@63.468C VDD_IN 11963mW/11578mW VDD_CPU_GPU_CV 4884mW/4586mW VDD_SOC 3098mW/3068mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [10%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.218C soc2@61.781C soc0@62.406C gpu@63.281C tj@63.437C soc1@63.437C VDD_IN 11963mW/11604mW VDD_CPU_GPU_CV 4884mW/4606mW VDD_SOC 3098mW/3070mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,0%@1728,9%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.218C soc2@61.687C soc0@62.468C gpu@63.812C tj@63.812C soc1@63.656C VDD_IN 11963mW/11626mW VDD_CPU_GPU_CV 4884mW/4623mW VDD_SOC 3098mW/3072mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,9%@1728,0%@1728] GR3D_FREQ 48% cpu@63.125C soc2@61.843C soc0@62.531C gpu@63.593C tj@63.593C soc1@63.343C VDD_IN 11963mW/11646mW VDD_CPU_GPU_CV 4884mW/4639mW VDD_SOC 3098mW/3073mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.281C soc2@61.687C soc0@62.25C gpu@63.281C tj@63.312C soc1@63.312C VDD_IN 11963mW/11664mW VDD_CPU_GPU_CV 4843mW/4650mW VDD_SOC 3098mW/3075mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.062C soc2@61.75C soc0@62.468C gpu@63.75C tj@63.75C soc1@63.406C VDD_IN 11922mW/11677mW VDD_CPU_GPU_CV 4843mW/4660mW VDD_SOC 3098mW/3076mW
08-04-2026 19:11:05 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.125C soc2@61.656C soc0@62.437C gpu@63.593C tj@63.593C soc1@63.531C VDD_IN 11963mW/11692mW VDD_CPU_GPU_CV 4843mW/4669mW VDD_SOC 3098mW/3077mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.093C soc2@61.906C soc0@62.593C gpu@63.343C tj@63.375C soc1@63.375C VDD_IN 11963mW/11705mW VDD_CPU_GPU_CV 4843mW/4678mW VDD_SOC 3103mW/3078mW
