family,case,rep,med_ms,avg_w,j_per_inf,gpu_mb_torch,gpu_mb_residency
fno,fno_burgers_base_r2048,1,2.2919659968465567,141.40853820598008,0.3283582456666568,37.05615234375,787.0
fno,fno_burgers_base_r2048,2,2.4214349687099457,141.0873754152824,0.34509235050731707,37.05615234375,787.0
fno,fno_burgers_base_r2048,3,2.296223072335124,141.17649501661128,0.32920367061723593,37.05615234375,787.0
fno,fno_burgers_large_r2048,1,3.2950069289654493,140.38441860465116,0.46670405927402,42.2119140625,793.0
fno,fno_burgers_large_r2048,2,3.3682180801406503,141.24862126245847,0.4746074477194576,42.2119140625,793.0
fno,fno_burgers_large_r2048,3,3.3267191611230373,139.82167774086378,0.4685157596610063,42.2119140625,793.0
fno,fno_burgers_small_r2048,1,2.32300884090364,137.74662790697676,0.328389029331574,35.07470703125,785.0
fno,fno_burgers_small_r2048,2,2.2906549274921417,138.8230897009967,0.3264618105876207,35.07470703125,785.0
fno,fno_burgers_small_r2048,3,2.3331509437412024,139.97933554817277,0.3339331093155644,35.07470703125,785.0
fno,fno_darcy_base_r141,1,3.0152099207043648,159.68961794019933,0.48269652589963785,79.20947265625,843.0
fno,fno_darcy_base_r141,2,2.998603042215109,159.61941860465117,0.4826024915838808,79.20947265625,843.0
fno,fno_darcy_base_r141,3,2.966876025311649,160.03897009966778,0.4772116079957725,79.20947265625,843.0
fno,fno_darcy_large_r141,1,4.31866105645895,199.4583388704319,0.8660423302939112,289.6689453125,1045.0
fno,fno_darcy_large_r141,2,4.437256138771772,199.59827242524918,0.8660110151482796,289.6689453125,1045.0
fno,fno_darcy_large_r141,3,3.6681550554931164,210.07307308970098,0.7794926809027127,289.6689453125,1045.0
fno,fno_darcy_small_r141,1,2.8820938896387815,155.18099667774086,0.44993566183565586,52.74853515625,813.0
fno,fno_darcy_small_r141,2,3.1362599693238735,153.95823627287854,0.48383363196202434,52.74853515625,813.0
fno,fno_darcy_small_r141,3,3.121222951449454,153.8735049833887,0.4846435155604474,52.74853515625,813.0
deeponet,deeponet_burgers_base_r2048,1,0.975908013060689,142.03514950166112,0.15846876593751774,38.8173828125,769.0
deeponet,deeponet_burgers_base_r2048,2,1.076417975127697,141.24792358803987,0.1728785907184079,38.8173828125,769.0
deeponet,deeponet_burgers_base_r2048,3,1.0721930302679539,141.18378737541528,0.1722012883270584,38.8173828125,769.0
deeponet,deeponet_burgers_large_r2048,1,1.2790994951501489,165.47224252491694,0.23714965541056354,50.08154296875,795.0
deeponet,deeponet_burgers_large_r2048,2,1.116317929700017,171.25681063122923,0.21526301747731263,50.08154296875,795.0
deeponet,deeponet_burgers_large_r2048,3,1.2884419411420822,165.1387873754153,0.2388332416919054,50.08154296875,795.0
deeponet,deeponet_burgers_small_r2048,1,1.0912981815636158,134.07446843853822,0.16829625496373302,35.37451171875,767.0
deeponet,deeponet_burgers_small_r2048,2,0.9942448232322931,134.6172757475083,0.15463459667600193,35.37451171875,767.0
deeponet,deeponet_burgers_small_r2048,3,0.8590479847043753,135.58918604651163,0.13554287899219428,35.37451171875,767.0
deeponet,deeponet_darcy_base_r141,1,1.0645439615473151,188.95827242524916,0.3300307499523276,82.736328125,811.0
deeponet,deeponet_darcy_base_r141,2,1.1544949375092983,190.12998338870432,0.32905436329278165,82.736328125,811.0
deeponet,deeponet_darcy_base_r141,3,1.2103980407118797,185.83282392026578,0.34560973422623986,82.736328125,811.0
deeponet,deeponet_darcy_large_r141,1,1.4462950639426708,264.2656478405316,0.5495712232963886,121.08935546875,851.0
deeponet,deeponet_darcy_large_r141,2,1.478234538808465,259.0009302325581,0.5603063431145372,121.08935546875,851.0
deeponet,deeponet_darcy_large_r141,3,1.495287986472249,263.77300664451826,0.551166112433884,121.08935546875,851.0
deeponet,deeponet_darcy_small_r141,1,0.997090945020318,145.90699335548172,0.22669733683734428,55.2158203125,789.0
deeponet,deeponet_darcy_small_r141,2,0.9225979447364807,146.08634551495015,0.22404528519462547,55.2158203125,789.0
deeponet,deeponet_darcy_small_r141,3,1.0935715399682522,144.53320598006644,0.24803813574219905,55.2158203125,789.0
hx,hx_full,1,10.429859161376953,186.27769736842106,1.9509274715839593,133.15625,913.0
hx,hx_full,2,10.662555694580078,184.79709784411276,1.9752779887446636,133.15625,913.0
hx,hx_full,3,11.208057403564453,182.18402597402599,2.0457540082808836,133.15625,913.0
hx,hx_layer2,1,2.9754638671875,171.86215460526316,0.5128927566994458,127.75390625,907.0
hx,hx_layer2,2,3.194093704223633,169.16907742998353,0.5429361247251676,127.75390625,907.0
hx,hx_layer2,3,3.137826919555664,170.34722314049586,0.5362636987472037,127.75390625,907.0
hx,hx_spectral,1,5.73420524597168,137.88410801963994,0.7937454074960961,53.5732421875,809.0
hx,hx_spectral,2,5.739450454711914,138.37406557377048,0.797679524979454,53.5732421875,809.0
hx,hx_spectral,3,5.649566650390625,139.0007528641571,0.7883359869945791,53.5732421875,809.0
wno,wno_burgers_base_r2048,1,14.753068913705647,142.71873963515753,2.1139010803915244,36.26806640625,779.0
