family,case,rep,med_ms,avg_w,j_per_inf,gpu_mb_torch,gpu_mb_residency
wno,wno_burgers_base_r2048,2,14.267131453379989,143.20346600331675,2.0498875150405844,36.26806640625,779.0
wno,wno_burgers_base_r2048,3,14.741592109203339,143.1895688225539,2.117545468726772,36.26806640625,779.0
wno,wno_burgers_large_r2048,1,17.92863302398473,144.0017247097844,2.593413190057419,39.9833984375,783.0
wno,wno_burgers_large_r2048,2,16.205184976570308,144.28658374792704,2.3500284739165704,39.9833984375,783.0
wno,wno_burgers_large_r2048,3,16.336492029950023,144.24041459369818,2.3662653538765706,39.9833984375,783.0
wno,wno_burgers_small_r2048,1,13.388203922659159,142.78635157545605,1.923706136516961,35.49169921875,777.0
wno,wno_burgers_small_r2048,2,14.755348092876375,142.49567164179103,2.104457674759705,35.49169921875,777.0
wno,wno_burgers_small_r2048,3,14.456041157245636,142.38174129353234,2.0649647334636994,35.49169921875,777.0
wno,wno_darcy_base_r141,1,22.379032103344798,148.2240464344942,3.3370907605723077,54.38037109375,803.0
wno,wno_darcy_base_r141,2,21.925967535935342,148.37293532338308,3.2645753263960966,54.38037109375,803.0
wno,wno_darcy_base_r141,3,24.345044046640396,147.4114096185738,3.580277522262758,54.38037109375,803.0
wno,wno_darcy_large_r141,1,26.569984038360417,150.72228855721394,4.005685905116924,57.134765625,805.0
wno,wno_darcy_large_r141,2,25.375995552167296,151.70640132669985,3.849506640380397,57.134765625,805.0
wno,wno_darcy_large_r141,3,26.622978039085865,151.2910447761194,4.0302399370409345,57.134765625,805.0
wno,wno_darcy_small_r141,1,22.134070517495275,146.54747927031508,3.2532485359152497,53.60888671875,799.0
wno,wno_darcy_small_r141,2,22.975677042268217,146.3644776119403,3.3753267211468505,53.60888671875,799.0
wno,wno_darcy_small_r141,3,22.75128406472504,145.94262023217246,3.3469649368429115,53.60888671875,799.0
sp2gno,sp2gno_burgers_base_r2048,1,5.326304119080305,152.92995008319468,0.8242045624155337,44.1162109375,773.0
sp2gno,sp2gno_burgers_base_r2048,2,5.3562899120152,152.94536666666667,0.824618174221892,44.1162109375,773.0
sp2gno,sp2gno_burgers_base_r2048,3,5.296705523505807,152.2557048092869,0.8173585340248675,44.1162109375,773.0
sp2gno,sp2gno_burgers_large_r2048,1,5.334719084203243,155.67794019933555,0.8406836079297243,49.17333984375,797.0
sp2gno,sp2gno_burgers_large_r2048,2,5.678934045135975,154.94262023217246,0.8866719246916168,49.17333984375,797.0
sp2gno,sp2gno_burgers_large_r2048,3,5.210217786952853,155.62373553719007,0.8146644529743752,49.17333984375,797.0
sp2gno,sp2gno_burgers_small_r2048,1,5.309771979227662,152.04409917355372,0.8103288934960525,42.4638671875,771.0
sp2gno,sp2gno_burgers_small_r2048,2,5.403012968599796,151.98842715231788,0.8232671435145542,42.4638671875,771.0
sp2gno,sp2gno_burgers_small_r2048,3,5.147752119228244,153.6287354409318,0.7989416497874847,42.4638671875,771.0
sp2gno,sp2gno_darcy_base_r141,1,8.371569914743304,251.74101666666667,2.132136663642627,253.44580078125,989.0
sp2gno,sp2gno_darcy_base_r141,2,8.431073976680636,250.66232289950577,2.1474273895492075,253.44580078125,989.0
sp2gno,sp2gno_darcy_base_r141,3,8.466298575513065,247.34506644518274,2.131195813535446,253.44580078125,989.0
sp2gno,sp2gno_darcy_large_r141,1,8.290189900435507,287.99828099173556,2.4249201703025958,315.73779296875,1111.0
sp2gno,sp2gno_darcy_large_r141,2,7.8416550531983376,298.232784184514,2.3558955196597773,315.73779296875,1111.0
sp2gno,sp2gno_darcy_large_r141,3,7.976146414875984,293.86169154228855,2.3747850660440917,315.73779296875,1111.0
sp2gno,sp2gno_darcy_small_r141,1,7.245609536767006,260.57181063122925,1.917197326611007,232.60888671875,975.0
sp2gno,sp2gno_darcy_small_r141,2,7.266327156685293,260.2292703150912,1.917435704514336,232.60888671875,975.0
sp2gno,sp2gno_darcy_small_r141,3,7.011790992692113,264.7316,1.872212742047151,232.60888671875,975.0
